group	x	y
2	6.679	61.5878780487805
3	7.7	34.637512195122
5	4.972	66.7384634146342
6	3.314	69.5987073170732
7	7.339	36.6060487804878
8	3.056	66.2933170731707
10	2.496	69.8331707317073
11	2.886	70.9687804878049
12	3.054	68.7284146341464
13	4.753	64.4186829268293
14	2.994	65.4456829268293
15	3.284	68.145
16	6.94	44.3662926829268
17	2.245	70.7648780487805
18	6.593	40.3736829268293
19	2.27	70.43
20	6.69	62.9744634146342
21	6.801	43.5884390243902
22	6.71	39.1287317073171
24	5.731	66.6882195121951
25	6.587	45.4228048780488
26	5.168	58.1863902439024
27	3.571	66.0115853658537
28	6.67	40.1257317073171
29	6.667	53.9278780487805
30	2.26	70.3150487804878
31	6.316	65.5598780487805
32	2.334	72.5014634146341
33	6.187	43.4999268292683
34	5.954	41.2093902439024
35	6.235	53.0775853658537
36	2.123	72.6126829268293
37	7.883	43.1974146341463
38	4.202	61.5472926829268
39	6.168	45.5717804878049
40	5.712	61.4486585365854
41	5.83	60.5027317073171
42	5.324	66.3585609756098
43	4.18	69.1616097560976
44	6.954	51.8530487804878
46	2.686	72.2686829268293
47	1.87	69.3670731707317
48	2.21	70.6126585365854
49	7.494	42.7925609756098
50	2	73.2209756097561
52	6.376	57.8433170731707
53	7.396	52.3027804878049
54	6.376	57.3705365853659
55	2.11	70.0480975609756
56	6.04	49.9655853658537
57	6.637	42.9141951219512
58	2.858	71.0575609756098
59	6.852	42.6379024390244
60	1.851	69.5034146341464
61	4.71	59.5436585365854
62	6.935	61.2115853658537
64	2.62	71.4585365853659
65	4.626	45.7884146341463
66	2.507	71.7219512195122
67	4.69	64.0171219512195
68	2.609	66.8397073170732
69	6.957	48.5126585365854
71	6.043	37.3421463414634
72	6.829	33.612243902439
73	5.671	39.4398780487805
74	2.48	71.422756097561
75	6.259	51.3064878048781
76	4.526	65.4467073170732
77	5.643	36.9428048780488
78	5.784	55.7216097560976
79	3.545	71.0878536585366
80	7.334	51.8550975609756
81	2.035	68.6644634146342
82	5.847	46.6991951219512
83	2.029	69.3146341463415
84	5.521	51.1890243902439
85	3.845	70.9151219512195
86	3.782	70.9704878048781
88	5.573	48.4839268292683
89	7.383	57.0212195121951
90	6.544	50.6419024390244
91	2.988	73.7763414634147
92	2.508	70.8119512195122
93	2.222	71.6407073170732
94	5.617	67.906756097561
95	7.968	60.2162195121951
96	2.13	71.8387804878049
97	8.103	51.6609756097561
98	4.961	59.8813414634146
99	6.056	44.5562195121951
101	7.06	47.2185365853659
103	4.076	60.7909512195122
104	4.624	60.3317317073171
106	7.327	66.3945365853659
108	3.6	61.8795609756098
109	5.972	45.8244634146342
110	5.178	64.4680975609756
111	6.249	63.060512195122
113	4.477	62.1028536585366
114	6.655	40.9434878048781
115	5.807	48.6848048780488
116	2.3	70.9285365853659
117	2.02	69.7930731707317
118	1.88	69.7968292682927
119	7.545	50.9696829268293
120	7.095	51.0078536585366
122	2.613	64.6848536585366
123	2.399	68.1667804878049
125	7.322	43.5024390243902
127	3.194	65.847
128	6.889	33.9453170731707
129	6.11	49.2781219512195
130	7.578	55.2267073170732
131	2.388	69.2330243902439
133	6.791	46.1673414634146
134	2.019	70.1789512195122
135	4.213	63.0216585365854
136	7.237	43.4659024390244
137	7.267	40.1225609756098
138	6.76	60.8957804878049
139	5.009	63.5398536585366
140	6.596	38.7757317073171
141	6.401	51.9894878048781
142	4.59	62.5804878048781
143	7.382	38.2185365853659
144	6.425	41.9537804878049
145	6.919	52.9299024390244
146	2.748	73.539512195122
147	2.699	73.6634146341463
148	6.073	42.1737317073171
149	3.269	71.4731707317073
150	7.293	49.4746829268293
151	5.454	64.8606585365854
152	6.415	52.5965365853659
153	5.921	59.9102926829268
154	6.187	45.3082195121951
155	6.376	60.4707073170732
156	6.6	52.5806829268293
157	2.2	69.719512195122
158	3.248	71.3113414634146
160	2.849	66.6917317073171
162	5.894	65.2214634146342
163	6.952	65.5183414634146
164	3.19	67.9524390243903
166	1.97	68.5098536585366
167	8.126	44.182756097561
168	7.273	51.5030487804878
169	6.781	53.8817073170732
171	6.605	44.7582195121951
172	1.943	74.0848780487805
173	3.246	67.9510731707317
174	2.277	68.3609756097561
175	2.43	70.2172195121951
176	5.915	34.6286585365854
178	7.329	40.4121951219512
179	7.209	39.6594146341464
180	5.79	62.9465365853659
182	6.444	55.0609756097561
183	6.3	56.2429756097561
185	7.574	59.2610487804878
186	6.869	47.4107073170732
188	6.459	43.5964878048781
189	7.029	44.725756097561
190	5.764	59.4010243902439
191	6.841	59.7223902439024
192	6.039	39.041512195122
193	6.35	58.0198048780488
194	6.7	53.0273658536585
195	6.15	64.5529024390244
196	5.6	49.5811219512195
197	3.633	65.2029756097561
199	6.778	46.3114634146342
200	2.04	70.4114634146342
201	7.118	49.2582926829268
202	2.456	70.5073170731708
203	2.869	68.5641463414634
204	6.552	62.4598048780488
205	6.185	60.0182926829268
206	5.605	63.3513414634146
207	5.282	67.3208048780488
208	7.404	47.6755853658537
209	6.348	51.8799024390244
210	6.272	54.469512195122
211	7.512	39.9831951219512
212	5.634	52.4932682926829
213	7.425	48.5531463414634
214	7.415	54.5789024390244
