group	size	x	y
2	2.15832237717556	6.893	53.7608292682927
3	3.48049974515691	7.7	31.8320243902439
5	2.64137820867519	5.808	64.1623414634146
6	2.69227785949251	4.435	66.701487804878
7	3.11101742821142	7.385	33.7870975609756
8	4.25991804067997	3.089	65.389243902439
10	3.30738894838198	2.798	69.309512195122
11	3.60490971007659	3.442	70.9424390243903
12	2.11162842128348	4.471	66.3655365853659
13	2.99933777684876	5.591	61.6445853658537
14	2.90376528615745	3.849	61.5188292682927
15	2.23398373501326	4.269	65.6108048780488
16	5.54532372679467	6.79	48.8019024390244
17	3.48686940406273	2.592	70.219512195122
18	3.0903406689281	6.344	36.8775609756098
19	3.38603649298562	2.24	69.4919512195122
20	2.20124114736704	7.168	54.6219756097561
21	2.83264681349703	6.801	41.8668780487805
22	2.77423640987589	6.394	36.179243902439
24	2.14305722279036	6.448	63.4029756097561
25	2.9164310213712	6.648	43.2725365853659
26	6.30561017497159	6.143	55.411756097561
27	2.16738764711211	4.45	63.9529512195122
28	2.23513118219419	6.67	37.5782195121951
29	2.36185981248008	6.649	51.2455365853659
30	3.41506580621976	2.5	68.8120487804878
31	2.14944889567642	6.46	61.8984878048781
32	4.11282962654516	3.681	71.3670731707317
33	3.96135261237104	6.03	41.451512195122
34	2.6102294270106	5.891	37.3187804878049
35	2.50503851118977	5.967	49.8399756097561
36	3.15585685940506	2.464	71.1960975609756
37	2.94669699776237	7.501	40.7545365853659
38	3.38903976029686	5.463	57.8295609756098
39	3.15792545121055	5.866	42.4059512195122
40	14.6373281293471	5.602	44.7041951219512
41	4.01831674444431	6.776	57.7348536585366
42	2.58502909740255	7.221	62.7389512195122
43	3.33647160901291	4.509	64.9006829268293
44	2.22891096451412	6.953	49.1239512195122
46	2.37087532132809	3.421	70.2499756097561
47	3.51911510785916	2.12	69.7868292682927
48	6.21379595958416	2.44	70.0100975609756
49	2.1468673000072	7.805	39.4818292682927
50	3.05539453291728	2.544	72.319756097561
52	2.92098621844456	7.404	53.232243902439
