group	x	y
2	3.989	72.6785853658537
3	8.01	42.9397317073171
4	1.7	74.2463414634146
5	2.91	71.4652195121951
6	2.399	67.8285365853659
7	7.12	41.3145365853659
8	2.918	71.9440731707317
10	1.49	75.8553658536585
11	1.888	77.3780487804878
12	2.187	73.471756097561
13	2.74	64.207243902439
14	1.592	65.829
15	1.73	74.6783414634146
16	4.184	60.5147317073171
17	1.56	76.3512195121951
18	6.739	48.6117317073171
19	1.54	71.4943902439024
20	3.43	72.7473902439024
21	6.468	45.1109512195122
22	6.603	49.6033902439024
24	3.321	74.1887804878049
25	4.81	59.7934634146342
26	2.643	67.1334146341463
27	2.621	69.515
28	5.372	54.1637804878049
29	4.394	62.966
30	1.75	70.0219512195122
31	4.363	72.7738536585366
32	1.71	77.3207317073171
33	7.131	46.7076341463415
34	5.691	47.9173902439024
35	5.235	55.5086097560976
36	1.58	77.8060975609756
37	5.977	52.0708292682927
38	2.559	74.2139512195122
39	5.731	52.9293170731707
40	2.106	69.8618292682927
41	3.012	68.649
42	3.002	76.1692195121951
43	1.68	74.6253170731707
44	5.016	65.9453170731707
46	2.337	76.8160487804878
47	1.72	72.2717073170732
48	1.29	75.819512195122
49	5.918	51.8804146341463
50	1.76	75.1941463414634
51	2.5	73.9512195121951
52	3.33	68.5885365853659
53	4.216	67.7191951219512
54	3.456	69.8420975609756
55	1.69	68.8634146341464
56	4.018	63.3895853658537
57	6.107	49.8426585365854
58	1.32	77.41
59	7.024	47.9489512195122
60	1.85	75.4553658536585
61	3.352	66.011243902439
62	4.82	66.4226585365854
64	1.74	77.1
65	5.097	61.4129756097561
66	1.79	76.4341463414634
67	3.551	70.2019268292683
68	2.076	70.3020487804878
69	5.392	57.6300487804878
70	2.53	65.3414634146341
71	6.039	53.2834634146341
72	6.619	44.521756097561
73	5.902	47.4722926829268
74	1.38	77.3829268292683
75	5.465	63.3537073170732
76	3.114	72.5460487804878
77	6.554	43.1449756097561
78	2.544	61.4771707317073
79	1.347	77.6780487804878
80	4.95	67.2273414634146
81	1.48	71.2414634146342
82	5.21	55.9715365853659
83	1.77	69.1170731707317
84	2.934	62.8804634146341
85	2.02	75.136243902439
86	2.7	76.5048780487805
88	3.758	58.892512195122
89	5.839	69.7719268292683
90	4.138	65.2640487804878
91	2.21	78.760243902439
92	1.3	77.2378048780488
93	1.457	75.8496829268293
94	2.855	70.4415853658537
95	5.308	70.8804146341463
96	1.502	79.1539024390244
97	5.668	58.4631219512195
98	3.617	68.1024390243903
99	5.464	55.7143902439024
100	3.8	58.1951219512195
101	5.355	56.0481219512195
102	2.6	67.9512195121951
103	2.38	69.4963414634146
104	1.78	72.2060975609756
105	2.9581	68.0892682926829
106	2.338	72.9526585365854
108	2.5	67.7317073170732
109	5.934	55.866487804878
110	3.027	69.1904390243902
111	3	71.5780487804878
113	2.385	69.6991219512195
114	6.357	42.0236097560976
115	4.759	59.5982682926829
116	1.89	70.2343902439025
117	1.67	75.7707317073171
118	1.73	68.3960975609756
119	4.241	69.1180243902439
120	3.722	65.1965853658537
122	2.191	67.2274878048781
123	1.825	75.7574390243903
125	6.179	52.1973902439024
127	2.065	71.6113414634146
128	7.026	44.7753170731707
129	3.181	58.4377317073171
130	3.492	60.8246341463415
131	1.487	76.6550975609756
133	5.814	56.296
134	2.12	75.8334146341463
135	2.37	70.0585365853659
136	5.441	62.5114146341463
137	6.558	47.1224146341464
138	3.211	71.5817073170732
139	3.438	70.5208292682927
140	6.147	43.9004634146341
141	4.97	60.8613170731707
142	2.85	71.5121951219512
143	7.787	42.468756097561
144	6.27	45.4153658536585
145	4.519	65.5775609756098
146	1.59	77.2170731707317
147	1.88	77.1843902439025
148	5.01	55.2424878048781
149	2.12	76.1243902439025
150	6.478	71.9016585365854
151	2.906	72.731756097561
152	3.617	66.5088048780488
153	3.11	69.9952682926829
154	4.724	56.3991951219512
155	4.177	65.5123658536585
156	5.767	61.2950243902439
157	1.93	71.090243902439
158	2.179	74.2374878048781
159	6.526	68.7226829268293
160	1.48	74.3121951219512
162	4.356	68.3314634146341
163	4.02	74.6084878048781
164	1.52	69.7843902439024
166	1.552	66.8731707317073
167	6.516	27.3345853658537
168	5.522	69.5909512195122
169	5.596	57.8211219512195
170	2.696	70.6707317073171
171	5.84	53.2303658536585
172	2.09	77.9987804878049
173	1.76	76.478756097561
174	1.33	73.3048780487805
175	1.93	71.7951219512195
176	5.789	37.663243902439
178	6.417	53.724243902439
179	6.532	43.8934634146341
180	2.64	67.6476585365854
182	5.212	61.2176341463415
183	3.777	67.622512195122
185	4.913	71.8469268292683
186	5.392	58.9767804878049
188	6.654	50.4757804878049
189	6.056	53.4782682926829
190	2.001	72.4528780487805
191	4.947	62.4198048780488
192	5.651	47.9631463414634
193	4.071	62.7055365853659
194	3.223	70.7560975609756
195	4.583	69.7972195121951
196	2.915	64.200756097561
197	2.179	69.0518536585366
199	6.081	50.0647073170732
200	1.72	68.8780487804878
201	7.071	46.0791463414634
202	2.046	75.6421951219512
203	2.487	72.85
204	4.004	66.3602195121951
205	2.86	69.6311219512195
206	3.292	71.415756097561
207	3.047	75.400512195122
208	3.261	67.292756097561
209	4.844	64.1034146341463
210	4.724	66.0700243902439
211	8.312	56.6032926829268
212	3.408	61.3569268292683
213	6.341	45.6693902439024
214	4.839	58.3153414634146
