group	x	y
2	2.645	74.6159024390244
3	7.73	45.2928536585366
5	2.241	74.2387317073171
6	1.688	70.9894390243903
7	6.826	45.2049268292683
8	2.477	73.7179756097561
10	1.36	78.0268292682927
11	1.756	79.2341463414634
12	1.874	73.7200975609756
13	2	66.7572195121951
14	1.412	74.3081219512195
15	1.558	75.4082682926829
16	3.121	64.7303414634146
17	1.67	77.7219512195122
18	6.259	50.2012926829268
19	1.26	71.6634146341463
20	2.72	73.7960731707317
21	5.772	46.0050487804878
22	5.966	52.5653414634146
23	1.74	77.8648780487805
24	2.401	76.2323414634146
25	4.14	62.9636829268293
26	2.364	70.1382682926829
27	2.071	71.6282926829268
28	3.676	61.3742195121951
29	3.414	50.765487804878
30	1.31	68.9121951219512
31	3.594	73.5311219512195
32	1.49	79.2365853658537
33	6.911	45.6519024390244
34	5.446	43.6633658536585
35	4.932	54.1458536585366
36	1.5	79.6804878048781
37	5.162	50.1608780487805
38	2.087	76.8217317073171
39	4.983	50.0712682926829
40	1.737	71.2417073170732
41	2.64	71.0009756097561
42	2.414	77.8040731707317
43	1.626	76.3658048780488
44	3.701	69.4482682926829
46	1.714	77.9569268292683
47	1.14	74.9682926829268
48	1.38	77.9268292682927
49	4.801	53.8503414634146
50	1.77	76.5926829268293
52	2.892	70.8937073170732
53	2.622	70.0241707317073
54	2.953	73.3920487804878
55	1.38	70.4170731707317
56	3.315	69.0826585365854
57	5.43	56.0249756097561
58	1.23	78.9658536585366
59	6.08	51.7101219512195
60	1.73	77.4658536585366
61	3.09	67.6073170731707
62	4.3	67.2737317073171
64	1.89	78.9585365853659
65	4.051	59.6909512195122
66	1.64	77.7414634146342
67	2.582	73.4077073170732
68	1.625	71.5630975609756
69	4.656	58.382243902439
70	2.308	65.9268292682927
71	5.64	55.156756097561
72	5.991	48.1101463414634
73	5.773	48.6902682926829
74	1.26	77.8878048780488
75	4.801	67.7441707317073
76	2.878	74.1653902439025
77	5.846	44.8848780487805
78	2.466	64.4482682926829
79	1.035	80.8780487804878
80	3.997	70.3820243902439
81	1.39	72.8078048780488
82	4.303	58.3720731707317
83	1.32	71.2463414634146
84	2.453	65.6463658536586
85	1.89	76.5407317073171
86	2.95	78.9536585365854
88	3.122	61.6138780487805
89	5.252	70.7434878048781
90	2.206	69.7396585365854
91	2.08	79.6536585365854
92	1.26	79.4268292682927
93	1.402	77.5241219512195
94	2.603	70.4722926829268
95	3.931	72.0750243902439
96	1.359	81.0760975609756
97	5.012	52.2996341463415
98	2.4	68.5585365853659
99	3.822	57.4641463414634
101	5.315	57.8764390243903
103	2.11	65.110512195122
104	1.47	75.8554878048781
105	2.9543	67.9512195121951
106	2.626	73.7524878048781
108	1.8	65.5170731707317
109	4.227	61.3946097560976
110	2.387	70.6370243902439
111	2	71.1056097560976
113	2.191	70.9842926829268
114	5.849	45.9643170731707
115	4.089	47.5863658536585
116	1.39	72.0195121951219
117	1.76	77.8731707317073
118	1.24	70.3146341463415
119	3.079	72.530756097561
120	2.703	68.6751463414634
122	1.568	66.8882682926829
123	1.818	74.8900243902439
125	5.548	59.6745609756098
127	1.67	72.9102195121951
128	6.808	47.2432682926829
129	2.427	61.8557073170732
130	2.207	63.1213414634146
131	0.933	78.5369756097561
133	5.219	56.9947804878049
134	1.7	78.2
135	1.99	71.6634146341463
136	2.919	70.3741219512195
137	6.095	46.0297317073171
138	2.581	74.274243902439
139	3.065	72.1424878048781
140	5.693	47.2378536585366
141	4.033	57.6577317073171
142	2.63	74.919512195122
143	7.503	48.2666829268293
144	5.883	46.2723170731707
145	3.251	69.6457317073171
146	1.72	77.9878048780488
147	1.85	78.6341463414634
148	4.091	61.5216341463415
149	2	78.6365853658537
150	3.636	74.1102926829268
151	2.749	74.2231463414634
152	2.929	70.4762682926829
153	2.455	72.4210731707317
154	4.507	58.7957804878049
155	3.814	66.7951463414634
156	4.474	63.1619512195122
157	1.35	73.7487804878049
158	2.0485	76.6892682926829
159	5.376	70.9079512195122
160	1.55	76.3146341463415
161	1.535	70.4936585365854
162	3.677	70.0451951219512
163	3.149	76.3031951219512
164	1.31	71.1634146341463
165	1.48	72.1365853658537
166	1.21	65.3414634146341
167	5.786	46.5102195121951
168	3.99	71.4920975609756
169	4.72	62.834243902439
171	5.34	56.9740975609756
172	1.54	79.6439024390244
174	1.26	75.4121951219512
175	1.3	73.0512195121951
176	5.726	39.7315853658537
178	5.546	55.739243902439
179	6.507	48.2957804878049
180	2.726	67.9352926829268
182	4.577	62.3577804878049
183	2.934	69.7016097560976
185	3.633	74.0188780487805
186	4.222	48.6702195121951
188	6.605	48.4889756097561
189	5.102	54.8094878048781
190	1.71	72.5152195121951
191	4.03	63.7553414634146
192	7.112	56.190243902439
193	2.837	63.895512195122
194	2.08	72.6
195	4.25	70.7609268292683
196	2.383	69.4468780487805
197	1.638	68.3956097560976
199	5.688	50.3732926829268
200	1.1	67.8634146341464
201	6.865	46.0916829268293
202	2.056	76.6365853658537
203	2.19	74.8868292682927
204	2.58	66.9508780487805
205	2.379	70.3769512195122
206	2.83	73.269512195122
207	2.0553	77.5756585367561
208	1.983	71.945512195122
209	4.45	67.555
210	4.564	69.4878048780488
211	6.489	59.6898536585366
212	2.866	54.7763170731707
213	6.134	41.9298780487805
214	3.862	44.6179756097561
