group	size	x	y
2	2.65750389350106	4.388	72.1435365853659
3	3.6772060373771	7.96	42.3293658536585
5	2.90873659675359	3.219	71.6454390243903
6	2.92155592206299	2.538	67.757243902439
7	3.57411175947592	7.165	41.1414146341463
8	4.79730927992063	2.989	71.4982926829268
10	3.3567296145167	1.45	75.53
11	4.02299360613867	1.902	76.9946341463415
12	2.11781959777153	2.249	73.3899756097561
13	3.31005913089079	2.74	64.7463658536585
14	3.04152803956483	1.708	67.4668536585366
15	2.24735071524403	1.748	74.4172682926829
16	7.07527311187437	4.538	59.4711463414634
17	3.54593700011378	1.62	76.0519512195122
18	3.45345797635671	6.844	48.4530487804878
19	3.44578453155929	1.81	71.6414634146342
20	2.34342285443319	3.709	72.4649512195122
21	3.15917861647362	6.505	46.2271463414634
22	3.0948355077052	6.744	48.6485365853659
24	2.24618081108765	3.532	73.6536585365854
25	3.27620952746115	4.913	58.7780731707317
26	7.99134448664261	2.809	66.3407317073171
27	2.24589270888421	2.639	69.4370487804878
28	2.35705032271078	5.753	52.5896341463415
29	2.57527610311466	4.698	64.0171707317073
30	3.56303648336221	1.91	70.8365853658537
31	2.20967361905865	4.508	72.4868048780488
32	4.58174412341572	1.83	77.3770731707317
33	4.89365353088424	7.084	46.8400731707317
34	2.83528068833896	5.78	48.8288780487805
35	2.75542635641343	5.358	56.2465609756098
36	3.26880806892226	1.59	77.2424390243902
37	3.70448819516961	6.257	52.6441463414634
38	3.78008286112298	2.624	73.6035609756098
39	3.70128724948963	5.923	53.2530975609756
40	18.5016377970164	2.336	69.4597317073171
41	4.82640258562886	3.104	68.3055365853658
42	2.85874790730324	3.175	75.747
43	3.59432567006602	1.752	74.4598048780488
44	2.28879191193385	5.307	65.0802195121951
46	2.42762848061312	2.411	76.5047073170732
47	3.57407449993206	1.893	71.3839024390244
48	6.36499158610283	1.45	75.3161219512195
49	2.37481051557961	6.166	51.3663170731707
50	3.11003061543015	1.67	74.8053658536585
52	3.31792064855481	3.466	67.7041951219512
53	4.50864167071299	4.713	67.0717804878049
54	3.55800943381498	3.67	68.8568780487805
55	2.61268485963821	2.04	69.4756097560976
56	5.67598240162956	4.35	62.0128292682927
57	2.88543042460002	6.215	48.2335365853659
58	5.05259066559394	1.33	76.8375609756098
59	5.39460430380345	7.078	47.0453902439024
60	3.09320858498079	1.78	74.8131707317073
61	2.4167559653232	3.398	65.5708536585366
62	2.14859738311763	4.958	66.1975853658537
64	5.74299523966006	1.77	76.6
65	2.4754640831559	5.178	61.2891219512195
66	5.7055860658781	1.83	75.8804878048781
67	2.14856105745568	3.842	68.9273658536586
68	3.07278339186914	2.18	70.2478780487805
69	3.87298277506807	5.616	56.8430243902439
71	2.46786288918624	6.09	53.1250487804878
72	3.20127508272071	6.745	43.6706829268293
73	2.29774472568145	5.9	46.7654390243902
74	3.56057151959615	1.4	76.9390243902439
75	3.45998677969164	5.58	62.2866829268293
76	2.1739920424824	3.131	72.0855365853659
77	2.49297170245825	6.649	42.8241463414634
78	2.41580632409489	2.586	61.1014634146342
79	3.16933889022639	1.272	77.3804878048781
80	3.0840933007621	5.142	66.3393902439024
81	3.07032093596984	1.63	72.1704878048781
82	3.30557602845021	5.43	55.0904146341463
83	3.57716754479827	1.84	69.3156097560976
84	8.5459168113944	3.122	62.1038536585366
85	2.91754893490246	2.12	74.7413170731707
86	3.05678835810263	2.824	76.6073170731707
88	16.4369699324008	3.917	58.3528536585366
89	4.04964110124712	5.989	67.5341951219512
90	5.67680628774689	4.818	61.9104634146342
91	2.24515409409854	2.31	78.0363414634146
92	5.68844545799679	1.26	76.8590243902439
93	2.18087802679102	1.46	75.418243902439
94	2.7564920591605	2.948	70.6456341463415
95	2.87142670636981	5.808	70.434512195122
96	7.44359179366074	1.54	78.8368292682927
97	4.37133744871242	6.037	59.3399512195122
98	3.02582777511436	3.69	68.2975609756098
99	3.47364286697789	5.741	55.3972926829268
101	2.31303754185058	5.573	55.5994146341463
103	4.20071390913562	2.406	70.4662682926829
104	5.20659822318825	1.59	71.2948780487805
105	2.66755152467421	3.9028	67.7587804878049
106	2.70218695864176	2.588	72.6818536585366
108	3.98002200533994	2.72	68.3365853658537
109	3.00853231308325	6.152	54.3082195121951
110	2.80459081408477	3.137	68.6720243902439
111	2.17921999346022	3.398	70.9086585365854
113	4.0200211086406	2.488	69.6786829268293
114	2.70951106740279	6.519	42.2768048780488
115	2.61821165999112	4.919	59.3268536585366
116	2.94127617729079	2.03	71.1607317073171
117	2.30094966346128	1.62	74.8532926829268
118	2.79862566399467	2.02	69.2731707317073
119	3.01034914254295	4.826	68.0800243902439
120	4.43268142489885	4.034	64.146
122	2.94104194779864	2.413	67.4436829268293
123	2.38262563156469	1.869	75.4203170731707
125	3.66389428981716	6.258	50.7423902439024
127	2.69358295058621	2.125	71.2797804878049
128	3.38180026017889	7.063	44.1622195121951
129	5.17857270527112	3.446	57.2737073170732
130	2.72312077750583	4.095	60.5382682926829
131	2.29200310641623	1.694	76.1404390243903
133	2.69607776540956	5.937	55.9369756097561
134	2.28970829667198	2.05	75.1757804878049
135	2.50294097023912	2.32	69.4048780487805
136	2.22528478056237	6.129	60.8846341463415
137	3.50503276389777	6.75	47.0942682926829
138	6.54388491470482	3.4	70.7910975609756
139	4.08983295024214	3.514	70.0653658536585
140	3.80377895035926	6.237	43.1762682926829
141	2.58181365097393	5.227	60.7774146341464
142	2.19817403004979	3.19	70.4853658536586
143	3.36343668436608	7.813	41.4328536585366
144	6.7890920070372	6.399	45.6373414634146
145	2.99575842751649	4.754	64.1580243902439
146	3.89354190228518	1.62	76.8780487804878
147	3.00816988672425	1.93	76.5373170731707
148	4.08409182630739	5.194	53.9567317073171
149	2.89314998292172	2.18	75.3780487804878
150	2.65816117138587	7.165	70.6329512195122
151	2.77168296473105	3.017	72.3481707317073
152	4.28507983201901	3.828	65.5495121951219
153	2.21577307249479	3.324	69.3337804878049
154	2.99817832936552	4.802	55.7093414634146
155	5.85474455648465	4.32	65.1593902439025
156	7.16208776697426	6.024	60.7671951219512
157	5.02338946065498	2.04	70.890243902439
158	2.92055388865209	2.219	74.3985853658537
159	2.68812084021602	6.528	68.0477317073171
