group	size	x	y
2	2.53899498985844	5.209	69.8756829268293
3	3.71333995700242	7.807	40.149243902439
5	2.83779362446093	3.904	70.7154146341463
6	2.88090118063489	2.406	70.2919268292683
7	3.42670913180103	7.205	40.5297804878049
8	4.65703930300608	3.163	70.2121219512195
10	3.34644118938051	1.56	72.9685365853659
11	3.91980397340628	1.924	75.1463414634146
12	2.11787659117081	2.353	72.8490243902439
13	3.24487996613617	3.026	65.0080975609756
14	3.00503320911241	1.992	71.2393658536586
15	2.24375725480776	1.889	72.8072926829268
16	6.63075816697072	5.903	56.3081219512195
17	3.53723413213638	1.56	73.8690243902439
18	3.32660856344721	7.059	47.5113414634146
19	3.46404012677472	2	71.3863414634146
20	2.30671189807006	4.583	70.9411463414634
21	3.03696094144145	6.514	47.8462926829268
22	2.98456160336965	7.01	46.1964634146342
24	2.22264248901089	3.906	71.6538292682927
25	3.17529052599958	5.259	54.2558292682927
26	7.59395393570719	3.721	63.6762926829268
27	2.2301957599016	2.965	68.5236585365854
28	2.32514745643584	6.399	48.1824146341464
29	2.51465343822855	5.88	61.9666585365854
30	3.53625698163111	2.11	70.4620243902439
31	2.19066001432533	5.336	71.0464146341463
32	4.47088836213344	1.68	76.0363414634146
33	4.61403888006584	6.748	46.2006829268293
34	2.77131389811281	5.955	49.6525365853659
35	2.68534861119391	5.952	56.8532195121951
36	3.24043996066191	1.51	76.0312195121951
37	3.50017344733449	7.253	52.6931707317073
38	3.67723900361121	2.651	71.0063658536586
39	3.53059060657435	6.377	52.3071951219512
40	17.6674114209056	2.602	67.7998536585366
41	4.62835018977377	3.63	66.9430975609756
42	2.78201758459653	3.517	73.9583902439024
43	3.54653450750891	1.825	74.0802682926829
44	2.27408809354348	6.075	61.5797073170732
46	2.40677529429174	2.438	75.3154878048781
47	3.57335054490984	1.97	70.5914634146341
48	6.32899207680281	1.33	73.6377073170732
49	2.30553493598083	6.592	49.3273170731707
50	3.10714820914795	1.377	74.4204878048781
52	3.22306944632975	4.082	64.2024390243903
53	4.26828730111505	6.38	61.968512195122
54	3.42997784918997	4.629	64.8221463414634
55	2.60073887322604	2.16	69.3756097560976
56	5.39563217212778	5.189	57.8743658536585
57	2.79757941651691	6.481	44.1779024390244
58	5.02385146482751	1.792	75.9090243902439
59	5.02927666600448	6.95	43.842243902439
60	3.07878009088115	1.74	74.2009756097561
61	2.40421618216472	3.755	63.8533414634146
62	2.13537497329335	5.894	65.4535853658537
64	5.66988445813667	1.86	74.8
65	2.43234694551499	5.197	57.4076341463415
66	5.67585952387998	1.77	74.3780487804878
67	2.14831461568445	4.245	65.4833658536585
68	3.04800147731873	2.277	69.4941707317073
69	3.68893210531929	6.31	53.9646585365854
71	2.40058224907373	6.28	50.0315853658537
72	3.07180748117719	6.949	40.3074146341463
73	2.2535651072958	5.802	43.9001707317073
74	3.53654012263305	1.94	75.2491707317073
75	3.34478625633458	6.054	58.6529756097561
76	2.16030312600352	3.088	70.2585365853659
77	2.4554172178465	6.642	41.2253414634146
