group	size	x	y
2	2.52556190478726	5.274	69.4961463414634
3	3.74060376531577	7.785	39.8398292682927
4	2.12455160695731	2	72.2480487804878
5	2.82822614822844	3.942	70.351243902439
6	2.87456970953346	2.381	70.5352195121951
7	3.40128180544584	7.203	40.4100487804878
8	4.63681479010722	3.213	69.9904390243903
10	3.34753017608046	1.66	72.8970731707317
11	3.90783404365473	1.929	74.9048780487805
12	2.11699827475486	2.364	72.6731951219512
13	3.23496642399864	3.092	64.8307317073171
14	3.0002590912633	2.017	70.8754878048781
15	2.24316658164136	1.922	72.5323902439024
16	6.56977331183272	6.075	56.0801951219512
17	3.53729522242993	1.614	73.8880487804878
18	3.3099910143749	7.07	47.1799512195122
19	3.46221365996879	2.02	71.1860975609756
20	2.30257924042481	4.692	70.6175121951219
21	3.02210052815396	6.549	47.5598048780488
22	2.97057522218282	7.021	45.9059024390244
24	2.21945641616402	3.992	71.3482926829268
25	3.16150164296467	5.337	53.5039756097561
26	7.53077055292036	3.848	63.2879024390244
27	2.22762313259209	2.989	68.2450975609756
28	2.32128228523173	6.449	47.5907073170732
29	2.50590814183192	6.012	61.4692682926829
30	3.53101722284814	2.05	70.3704878048781
31	2.18792150358714	5.51	70.7670975609756
32	4.45852811089622	1.69	75.6804878048781
33	4.58066494711023	6.693	46.0901951219512
34	2.75983285248631	5.956	49.4568292682927
35	2.67530611590143	6.036	56.6682926829268
36	3.23778160703733	1.56	76.0339024390244
37	3.46934723180713	7.382	52.3520975609756
38	3.66371270261671	2.65	70.4637804878049
39	3.50770126584849	6.407	51.9681219512195
40	17.5546257537237	2.586	67.5349024390244
41	4.59945265289482	3.744	66.5121951219512
42	2.77115107334584	3.544	73.5440487804878
43	3.54308007686992	1.826	73.9392195121951
44	2.2708460576487	6.174	61.0173170731707
46	2.40607796057157	2.415	75.131487804878
47	3.57266202517849	2.02	70.8078048780488
48	6.33467039008065	1.41	73.3614146341463
49	2.30227545508825	6.62	48.8978780487805
50	3.10752871107787	1.427	74.5512195121951
51	2.13040191581325	3.52	71.4634146341463
52	3.20926310305847	4.19	63.7797317073171
53	4.23168124106587	6.58	61.1255609756098
54	3.41230193449359	4.773	64.1849756097561
55	2.598672716724	2.08	69.1268292682927
56	5.35725164624213	5.251	57.3074146341463
57	2.78511215844894	6.499	44.0036097560976
58	5.01671841028643	1.936	76.1341463414634
59	4.98342536269556	6.912	43.7421463414634
60	3.07556732276138	1.72	74.2980487804878
61	2.39907908149046	3.813	63.5786829268293
62	2.13303257148111	6.02	65.3735853658537
64	5.65897800387574	1.86	74.5
65	2.42679409812125	5.195	56.5577073170732
66	5.67523277039885	1.78	74.1780487804878
67	2.14595882954192	4.243	65.2791707317073
68	3.04340213629138	2.284	69.4243658536585
69	3.65977331451118	6.392	53.6894634146342
71	2.39301716248873	6.305	49.2307804878049
72	3.05833493759031	6.951	39.8195609756098
73	2.24316460868735	5.776	43.5227073170732
74	3.53207545446673	2.024	74.976
75	3.32812865938892	6.109	58.1876341463415
76	2.15842612884316	3.12	69.9755365853659
77	2.45022311034256	6.542	40.858756097561
78	2.42902436482351	3.301	59.985756097561
79	3.12330202630349	1.86	75.4292682926829
80	2.96275342589177	6.062	60.9993414634146
81	3.05394720082292	1.9	70.4826829268293
82	3.19514476982687	6.154	51.7144146341464
83	3.6021822783074	1.92	69.3578048780488
84	8.04381165151627	4.167	58.5840975609756
85	2.91385871216146	2.957	73.0037804878049
86	2.98281169726463	3.13	74.109756097561
88	15.2459692908683	4.518	56.0903658536585
89	3.86059699447876	6.407	55.8321219512195
90	5.177720078229	6.517	50.3404146341463
91	2.23467267214871	2.26	77.0378048780488
92	5.68272798067633	1.592	74.8146341463415
93	2.17364772411549	1.434	73.7959268292683
94	2.725759975742	3.559	70.854
95	2.75168157858177	7.098	67.8975121951219
96	7.33030919147068	1.77	76.9229268292683
97	4.05211621735539	7.27	58.662512195122
98	2.94907543355518	4.068	63.6237317073171
99	3.29014135064649	6.57	45.2767317073171
100	2.11283176078549	4.5	51.9048780487805
101	2.28123316467208	7.033	52.7775853658537
102	2.09607786959172	3.3	63.9512195121951
103	4.07185776409572	2.797	68.4544390243902
104	5.07121913978868	2.42	66.7742682926829
105	2.61519054208321	4.8844	66.1626829268293
106	2.60040216582815	5.14	71.0304878048781
108	3.91203701755415	3	66.7878048780488
109	2.90163024829724	6.345	49.5226829268293
110	2.79397603233932	3.924	66.9278536585366
111	2.16743564788503	4.328	69.8558536585366
113	3.90896530323394	3.222	68.972
114	2.69817021050055	6.964	43.6984878048781
115	2.57321504336039	5.491	54.7937073170732
116	2.91009462063424	1.99	70.8368292682927
117	2.29437170981288	1.49	72.5257073170732
118	2.77853845154584	1.97	69.3282926829268
119	2.89482726690518	7.189	61.9303414634146
120	4.23173192072636	5.416	59.2085853658537
122	2.91099309621537	2.546	65.0227073170732
123	2.37341303884313	2.2	73.9569268292683
125	3.48687868053304	6.24	48.8771707317073
127	2.67837492929813	2.347	69.7059268292683
128	3.29583306561152	7.07	40.6205609756098
129	4.94314943956237	4.346	55.2640975609756
130	2.65223396221068	5.867	57.709
131	2.2481180803598	1.882	73.8723902439024
133	2.62340731140722	6.315	53.8998292682927
134	2.27775724480394	1.98	73.398756097561
135	2.48644920724276	2.412	67.7751707317073
136	2.19638235123739	7.21	54.7048536585366
137	3.25395214070241	7.342	45.0775609756098
138	6.19639601343482	4.333	67.4910975609756
139	3.86752483281506	3.725	67.9913902439024
140	3.74712147177258	6.457	42.7990243902439
141	2.50245973679053	6.259	58.7314878048781
142	2.18340073715591	3.14	68.3170731707317
143	3.2159280004856	7.748	39.7782195121951
144	6.31793779794478	6.768	45.762512195122
145	2.90743364111705	5.89	59.2408292682927
146	3.85263664527004	1.495	75.9885365853659
147	2.99298410306005	1.69	76.0109756097561
148	3.90059053258693	5.744	49.3022195121951
149	2.86951147810136	1.95	73.7243902439024
150	2.55531733289954	8.352	62.8887804878049
151	2.70670852937511	3.552	70.6083414634146
152	4.0893970163824	4.729	61.2188292682927
153	2.19381883208339	3.839	65.93
154	2.90196913024964	5.515	54.0581219512195
155	5.46541859931362	4.978	63.5998048780488
156	6.53131776759389	6.483	58.5519756097561
157	4.94785385729931	2.336	71.1024390243903
158	2.88609253956469	2.49	73.9843658536585
160	3.54161672059062	2.19	72.4146341463415
162	2.901211257768	5.191	66.9393902439025
163	2.25588735475491	5.502	71.9208780487805
164	4.32376925819676	2.166	69.5317073170732
166	7.81198847812076	2.04	67.8060975609756
167	3.14663815548959	8.284	49.6565365853659
168	3.63677549014833	7.05	63.9366341463415
169	2.24104728057966	6.525	58.678756097561
170	2.12146069130511	3.5	68.6829268292683
171	3.92604146962973	6.361	50.0251463414634
172	3.41280391724488	1.65	76.3273170731707
173	2.79619639124795	1.706	72.1640487804878
174	2.67617990650713	1.93	71.0536585365854
175	3.1007165404914	2.28	70.6890243902439
176	2.89330399709137	5.524	43.8061463414634
178	3.18804595734667	7.323	48.9146829268293
179	3.22612110595168	6.749	43.8604878048781
180	2.29533576258761	3.708	66.4660975609756
182	2.15057861401446	6.271	59.7721951219512
183	3.07308197173047	4.87	57.3509268292683
185	3.51823942505091	6.843	67.2638048780488
186	2.39030118949503	6.573	55.5703902439024
188	3.063123305486	6.756	48.8228048780488
189	2.83560715005278	7.097	50.3641951219512
190	5.43690449782498	3.024	67.2846341463415
191	2.99685812672258	5.561	62.6693170731707
192	2.37693185944729	5.13	38.0129024390244
193	2.84809989223802	4.836	61.4511707317073
194	3.27009860990226	5.018	63.7185609756097
195	2.14644366625637	5.475	68.0494878048781
196	5.32157097526699	4.188	58.0432682926829
197	2.51747698539047	3.253	67.7046097560976
199	4.18450437372088	6.58	50.8036829268293
200	5.47634144376015	1.98	69.0993658536586
201	3.78750995395316	7.101	49.935512195122
202	9.45452218238893	1.8275	74.3609756097561
203	2.84120605426518	2.614	70.7925853658537
204	4.01255277902528	4.829	65.915756097561
205	2.15326285169456	3.692	66.5121951219512
206	3.95823932999947	4.014	68.8403170731708
207	2.15310469131095	3.74	72.0364634146342
208	5.6547222000948	5.004	58.1200243902439
209	2.16763824578392	5.43	59.6648780487805
210	2.19165199457132	4.816	60.966512195122
211	3.43234366841489	9.185	50.8928780487805
212	4.63603092814395	4.602	58.165756097561
213	3.2225762829542	7.015	51.9751463414634
214	3.37420357701604	6.811	60.2358780487805
