group	x	y
2	6.146	65.5626341463415
3	7.693	36.8107317073171
5	4.507	68.0722682926829
6	2.846	70.5239756097561
7	7.192	38.6156585365854
8	3.264	67.7132682926829
10	1.95	70.9624390243903
11	2.397	72.2360975609756
12	2.552	70.4652926829268
13	4.084	65.2435853658537
14	2.493	68.1404634146342
15	2.513	69.9716097560976
16	6.877	40.787756097561
17	1.83	71.9858536585366
18	6.807	43.0833658536585
19	2.29	71.2080487804878
20	5.716	66.8015609756098
21	6.823	44.4880487804878
22	6.896	42.4575853658537
24	5.555	68.6580731707317
25	6.31	47.6000731707317
26	4.585	60.0944390243902
27	3.33	66.6439512195122
28	6.69	42.6708780487805
29	6.512	56.8957317073171
30	2.21	70.8837317073171
31	6.287	67.8458048780488
32	1.837	73.2375609756098
33	6.333	44.9674390243902
34	5.951	45.0796585365854
35	6.321	54.7000975609756
36	1.731	74.2870731707317
37	7.934	47.1681219512195
38	3.33	64.743
39	6.343	48.2146097560976
40	4.16	65.3712682926829
41	4.782	62.2693902439024
42	4.105	68.9766585365854
43	3.127	71.5319756097561
44	6.818	55.8353414634146
46	2.393	73.4875609756098
47	2.46	70.0865853658537
48	1.51	71.1411219512195
49	7.068	45.0016829268293
50	1.897	73.8082926829268
52	5.383	60.5663902439024
53	7.364	55.509512195122
54	5.838	59.5683902439024
55	2.1	69.8793170731707
56	5.633	52.5810975609756
57	6.505	44.3559024390244
58	2.866	72.969756097561
59	6.78	44.0164634146342
60	1.625	71.1348780487805
61	4.106	61.2226341463415
62	6.77	63.4265853658537
64	2.18	72.6048780487805
65	4.976	49.8903902439024
66	1.92	72.5243902439024
67	4.479	64.5185853658537
68	2.537	68.3911219512195
69	6.855	50.7479024390244
71	6.262	42.1739512195122
72	6.872	35.7712682926829
73	5.675	40.9469024390244
74	2.39	72.7565609756098
75	6.201	54.6724390243903
76	3.917	67.4224390243903
77	6.993	38.1568048780488
78	4.595	57.7275609756098
79	2.967	72.6121951219512
80	6.935	54.9800487804878
81	1.976	69.8752195121951
82	5.615	48.5021951219512
83	2.27	69.2480487804878
84	5.152	54.3071707317073
85	3.617	71.4032926829268
86	3.626	71.6617073170732
88	5.156	51.8961463414634
89	7.072	60.3228780487805
90	6.209	54.5114146341463
91	2.66	74.5117073170732
92	2.331	72.7343902439025
93	1.735	72.1773658536585
94	4.685	69.1494634146341
95	7.675	63.6753902439024
96	2.05	74.3939024390244
97	7.905	54.4921463414634
98	4.492	61.3053414634146
99	5.075	36.0111951219512
101	7.052	49.5707317073171
103	3.326	64.5797317073171
104	3.81	63.5926829268293
106	6.617	68.423512195122
108	3.32	63.1935609756098
109	6.029	46.9683170731707
110	4.634	65.690756097561
111	5.571	65.641243902439
113	3.87	65.0226829268293
114	6.849	42.7902682926829
115	5.78	50.2839512195122
116	2.21	71.2441463414634
117	1.55	70.4477804878049
118	1.97	69.7409756097561
119	7.543	54.2004878048781
120	6.602	53.538243902439
122	2.503	65.0157317073171
123	2.373	71.3997804878049
125	7.269	45.4849024390244
127	2.714	68.2669024390244
128	6.951	36.6154390243902
129	5.617	52.585243902439
130	7.294	57.0445853658537
131	1.568	71.1824146341463
133	6.713	49.6409756097561
134	1.64	71.4709268292683
135	3.341	64.0200731707317
136	7.04	47.0744390243903
137	7.457	42.2147804878049
138	6.164	63.373756097561
139	4.334	65.4375853658537
140	6.564	41.1261463414634
141	6.642	54.646
142	3.8028571429	64.8243902439024
143	7.554	38.6809756097561
144	6.669	43.918512195122
145	6.678	55.9833902439024
146	1.773	74.5368292682927
147	2.137	74.7536585365854
148	6.011	44.778487804878
149	2.57	71.9243902439024
150	7.617	54.585243902439
151	4.662	67.2090243902439
152	5.828	56.3939512195122
153	4.841	61.3984146341463
154	6.041	48.6373658536585
155	5.824	61.7701219512195
156	6.611	55.4466829268293
157	2.26	71.1170731707317
158	2.908	72.7680731707317
160	2.599	68.019512195122
162	5.267	66.0327804878049
163	6.595	68.5381707317073
164	2.71	69.499756097561
166	2	68.320243902439
167	8.219	44.6718048780488
168	7.312	56.4452682926829
169	7.248	56.5105609756098
171	6.587	46.7866829268293
172	1.888	74.9804878048781
173	2.359	69.8854634146341
174	2.211	70.1609756097561
175	2.61	70.1782926829268
176	5.713	37.8687804878049
178	7.494	42.7781463414634
179	7.084	41.2695121951219
180	4.945	64.3588048780488
182	6.534	57.3118048780488
183	5.817	57.2321219512195
185	7.51	62.7805609756098
186	6.84	50.3673902439024
188	6.652	45.2998780487805
189	7.254	47.2973902439024
190	4.721	61.6651951219512
191	6.572	61.0851951219512
192	5.037	36.6681463414634
193	5.939	59.3378048780488
194	6.068	56.8168536585366
195	5.449	66.0660243902439
196	5.134	52.2582926829268
197	3.417	65.9692926829268
199	6.755	48.3938048780488
200	2.04	69.2560243902439
201	7.1	51.0112195121951
202	1.835	71.9560975609756
203	2.993	68.9193170731707
204	6.119	63.7724390243902
205	5.197	62.3928536585366
206	4.779	65.7766341463415
207	4.802	69.3911707317073
208	6.807	48.8243902439024
209	5.999	54.8786097560976
210	5.402	56.969512195122
211	7.922	42.5039024390244
212	5.335	54.2159024390244
213	7.444	50.7141707317073
214	7.41	56.3142682926829
