group	size	x	y
2	2.30124801743937	6.279	64.8883170731707
3	3.69393901610071	7.695	36.3613170731707
5	2.7435436324182	4.598	67.813512195122
6	2.80497308234616	2.942	70.4793170731707
7	3.23115035776616	7.208	38.2276585365854
8	4.45917822784242	3.203	67.4204390243903
10	3.34859560496509	1.97	70.9792682926829
11	3.79123739642527	2.491	71.8468292682927
12	2.11585996683293	2.613	70.1396585365854
13	3.14776028086943	4.216	65.2341707317073
14	2.95939965466297	2.581	67.6176341463415
15	2.23928390008882	2.648	69.5960243902439
16	6.09031257484333	6.91	39.2523658536585
17	3.52832939640389	1.95	71.6353658536586
18	3.19229299433834	6.75	42.5334146341463
19	3.4376882750529	2.15	71.3421951219512
20	2.2377194284469	5.895	66.1482682926829
21	2.92652135559566	6.817	44.2140243902439
22	2.86313939744129	6.86	41.8348780487805
24	2.18571298745295	5.687	68.2850731707317
25	3.04310287962834	6.415	47.0406341463415
26	6.976060484211	4.679	59.7048048780488
27	2.20617626113004	3.411	66.5426585365854
28	2.27718883172617	6.685	42.115756097561
29	2.42736868285049	6.546	56.246
30	3.48982639297605	2.25	70.8809268292683
31	2.1731711773156	6.285	67.4126097560976
32	4.31622233907334	1.89	73.1626829268293
33	4.28084071820597	6.301	44.7539024390244
34	2.68095030181998	5.952	44.2975609756098
35	2.59148805294702	6.312	54.409
36	3.22961893753643	1.823	73.9409756097561
37	3.20140407265659	7.94	46.3500487804878
38	3.55622319800621	3.504	64.0492682926829
39	3.3254297266088	6.315	47.6740487804878
40	16.5449761519816	4.544	64.9957804878049
41	4.34480301155817	4.956	61.8756341463415
42	2.68419524045112	4.278	68.4140975609756
43	3.48328265525856	3.4	71.0925365853659
44	2.26722429533823	6.855	55.0495365853659
46	2.38900099863807	2.44	73.2575853658537
47	3.54243302127896	2.31	70.0226829268293
48	6.35133144524715	1.54	70.9418048780488
49	2.21138726865908	7.156	44.5749756097561
50	3.0970888122113	1.917	73.6821951219512
52	3.08473037102344	5.58	60.0717804878049
53	3.95488115164679	7.384	54.8353170731707
54	3.25375853320399	5.955	59.0947804878049
55	2.5798527829744	2.13	69.9939268292683
56	5.04800391215096	5.692	52.0190975609756
57	2.68193576410977	6.52	44.2003414634146
58	4.8897746338945	2.823	72.6107317073171
59	4.72805201554397	6.794	43.7659268292683
60	3.0574782870053	1.504	71.2236585365854
61	2.3631689940474	4.178	60.9075609756098
62	2.11796304639092	6.842	62.9755853658537
64	5.57348900392992	2.28	72.3560975609756
