group	size	x	y
2	3.46284011766468	1.721	76.7425365853659
3	4.64210457589544	6.158	48.6805853658537
5	2.86920561586253	1.523	77.0422682926829
6	2.84261413034011	1.736	73.9160243902439
7	4.19995781147713	5.313	51.0593170731707
8	5.12551947101519	2.196	75.7976585365854
10	3.42113057640223	1.42	81.0317073170732
11	4.31386466915801	1.87	81.8463414634146
12	2.15305141243125	1.687	75.1127804878049
13	3.48303318035008	1.92	70.6528536585366
14	2.95913483792109	1.14	75.5528536585366
15	2.25801538478946	1.561	76.7392195121951
16	8.05534440686662	2.202	68.9373658536585
17	3.62759829592884	1.84	80.4853658536586
18	3.95854168901983	5.812	55.3579024390244
19	3.32727932622223	1.51	74.1634146341463
20	2.55594807454978	2.501	75.1562682926829
21	3.51244488725779	4.218	50.3370975609756
22	3.53131449117727	5.206	56.0144390243902
23	2.12025390263278	1.764	79.2885365853658
24	2.31062284706644	2.017	78.0651219512195
25	3.57339544453355	3.294	66.5773658536585
26	8.87308049368103	1.811	73.4352195121951
27	2.29469992299987	1.891	75.4522682926829
28	2.41706953959086	2.332	67.2847073170732
29	2.68959261400163	2.696	53.0184878048781
30	3.50709353540798	1.51	70.6512195121951
31	2.27357256345972	2.741	76.0529024390244
32	4.87591642372562	1.6269	80.929243902439
33	5.91595326832374	5.657	48.3693170731707
34	3.03107767853223	4.546	48.3456097560976
35	3.00625103140411	4.504	57.3561951219512
36	3.37730823723303	1.52	82.6951219512195
37	4.15642824048992	4.348	55.421243902439
38	4.0373701243899	1.849	79.016756097561
39	4.25252797819579	4.409	51.5764634146342
40	19.956202430801	1.582	73.4856341463415
41	5.36037283177853	2.1	73.6419024390244
42	3.06556806445936	1.827	79.3150975609756
43	3.64433644734861	1.457	79.1256341463415
44	2.34153593987649	2.344	73.9167804878049
46	2.51652652714261	1.468	79.5628536585366
47	3.58642569280184	1.43	77.8731707317073
48	6.42948934857561	1.36	80.7414634146342
49	2.44951606708985	3.679	57.9091707317073
50	3.15552029729199	1.75	79.8
52	3.55985629135303	2.544	73.437512195122
53	5.00955972186315	2.217	73.0799024390244
54	3.91213435022607	2.443	75.6303902439025
55	2.56603165376262	1.52	76.1268292682927
56	6.36387687786086	2.691	73.2019024390244
57	3.19253087762413	4.366	61.4170731707317
58	5.32794391505769	1.36	82.3268292682927
59	6.63058714326442	4.045	59.2430975609756
60	3.13644072942953	1.83	80.4707317073171
61	2.45515720739936	2.639	69.3493170731707
62	2.15421618504873	3.39	68.9481219512195
64	5.95981533573835	2.03	81.6682926829268
65	2.61753225511802	3.221	62.6912926829268
66	5.87967332461003	1.98	80.7536585365854
67	2.15549414530169	2.21	75.8270731707317
69	4.43985587874794	4.1	64.2243170731707
71	2.64432326454816	4.814	58.4847073170732
72	3.63596176230422	5.162	54.092243902439
73	2.41318849150739	5.106	51.1368780487805
74	3.64608047675691	1.43	80.7439024390244
75	3.87796360899673	3.922	71.0722195121951
76	2.19380336100922	2.446	76.1687804878049
77	2.6233690242061	4.988	48.1125853658537
78	2.43438252566363	2.234	69.862512195122
79	3.30203289252286	1.204	83.4219512195122
80	3.36543754110111	3.078	73.1132195121951
81	3.01281399988384	1.46	76.8756097560976
82	3.55100921055052	3.264	62.0619024390244
83	3.54627429477497	1.23	74.8585365853659
84	9.64731617303887	2.09	69.319243902439
85	3.04729717440171	2.05	80.4951219512195
86	3.36449127529262	3	81.7560975609756
88	19.1150990387952	2.589	65.4782682926829
89	4.75997833195005	4.636	68.984512195122
90	6.25341568484839	1.636	72.9994146341463
91	2.27476857885956	2.02	82.3585365853659
92	5.81643516872924	1.41	82.0878048780488
93	2.19352405041913	1.479	79.9724146341463
94	2.80510955209793	2.302	73.0763902439025
95	3.21723249971994	3.7	73.4288780487805
96	7.53709605920317	1.39	82.5912195121951
97	5.17498176939415	4.68	57.0808780487805
98	3.14969593676416	3.06	69.6024390243903
99	3.87152019433323	2.51	62.9774146341463
101	2.40858226371918	4.85	61.0417804878049
103	4.43052676519968	2.01	68.6756585365854
104	5.4554050538966	1.244	80.8658536585366
105	2.65466284249821	2.2	70.1487804878049
106	2.86517007791688	2.283	74.7283414634147
108	3.99274271418395	2.59	68.8934146341464
109	3.25031538058998	2.658	67.4323658536586
110	3.02484401562999	1.783	72.5872195121951
111	2.20488192422283	1.954	74.611
113	4.23717953460067	2.287	74.9019756097561
114	2.9887366361158	5.161	56.7428536585366
115	2.69699951112817	3.137	47.9837317073171
116	2.85196431018486	1.76	73.5634146341464
117	2.35115983167347	1.52	80.9878048780488
118	2.70191532255004	1.34	73.5756097560976
119	3.20954554394521	2.502	74.9501951219512
120	4.77295881800782	2.242	72.1319024390244
122	2.9236497067433	1.466	69.2124634146341
123	2.38451521720279	1.644	74.5041463414634
125	4.28018793637203	4.584	66.6956829268293
127	2.70968228837944	1.411	74.7880731707317
128	3.85936038720198	6.227	51.3720731707317
129	5.54354787871579	1.976	65.1501707317073
130	2.81218575181789	2.494	68.4881707317073
131	2.36057348675697	1.123	81.0185853658537
133	2.94190351813751	4.464	58.5467073170732
134	2.31452291756105	1.38	82.0048780487805
135	2.55449794002851	1.45	73.2668292682927
136	2.28036437460645	1.709	76.8829024390244
137	3.92532695164107	5.985	54.1363658536585
138	7.35079620584184	2.283	76.889512195122
139	4.62632751919775	2.607	74.2608536585366
140	4.42806192746948	4.832	50.1506097560976
141	2.72864923822714	3.15	62.3324146341464
142	2.24476141093803	2.122	76.6105609756098
143	3.98989898226121	7.012	54.6909268292683
144	8.27575683332488	5.489	51.8631219512195
145	3.18974108717029	2.573	73.9960975609756
146	4.00081547124948	1.76	81.2048780487805
147	3.0895443003983	1.88	81.2951219512195
148	4.55209104238077	2.658	68.7259268292683
149	3.02746333557328	2.1	80.9048780487805
150	2.85120390533591	2.24	73.3418048780488
151	2.94666899848683	2.454	76.1478292682927
152	4.66512884292723	2.464	73.9763658536585
153	2.25288353099668	2.065	75.2560731707317
154	3.29662150534856	3.891	62.8008048780488
155	6.77494841250307	3.099	68.7572926829268
156	8.50055974725791	3.336	65.4489024390244
157	5.04013846216226	1.3	76.7463414634146
158	2.94079886350201	1.782	79.0281463414634
159	2.97004321045712	4.379	72.8309512195122
160	3.59102408625701	1.35	80.7219512195122
162	3.25527292470847	2.911	72.4847073170732
163	2.67628064902982	2.232	78.2492195121951
164	4.26466523815721	1.25	74.5121951219512
165	3.31915938556419	1.36	74.5853658536585
166	7.85592245435502	1.54	69.0048780487805
167	3.63469917738823	5.339	55.3945853658537
168	4.58038389225405	2.738	74.0583658536585
169	2.35780835051208	4.157	67.8633170731707
170	2.14123977257602	2.1	73.4560975609756
171	4.95599794373018	4.325	61.4477317073171
172	3.50519931035587	1.9	81.8024390243903
173	3.11464135893438	1.2	81.8926829268293
174	2.70100209382169	1.56	79.9707317073171
175	3.13750743753166	1.45	75.9585365853659
176	3.18573669987926	4.884	47.7763658536585
178	3.78793577527307	4.735	59.2721951219512
179	3.54131575867249	6.319	51.1945609756098
180	2.35503688050304	2.307	70.5806097560976
182	2.20715589173824	3.585	64.5920487804878
183	3.22462394381688	2.217	71.9451463414634
185	4.29501207048492	2.87	75.8438048780488
186	2.53827776696835	3.286	48.6589268292683
188	3.70196939968826	5.886	49.5232682926829
189	3.24560514049902	3.985	57.0265853658537
190	5.9961384104554	1.559	74.0911951219512
191	3.36878721232187	3.24	67.5357317073171
192	2.53013248062012	5.453	62.4610243902439
193	3.10632144214162	2.363	64.9978780487805
194	3.59980484679347	2.13	74.7536585365854
195	2.15509253058664	3.861	72.286243902439
196	6.18617725960311	2.063	73.9441707317073
197	2.56457916476332	1.637	69.9633658536585
199	5.33442499529743	5.529	58.1512195121951
200	5.31101615246095	1.459	70.8092682926829
201	4.90347983138353	6.052	54.074243902439
202	10.6453344408422	1.8945	78.6414634146341
203	2.90033046321908	1.976	76.4121951219512
204	4.6527857910944	2.499	68.2653170731707
205	2.15876342009964	2.037	72.2954146341464
206	4.65998174674414	2.46	74.3121951219512
207	2.15604083466627	1.8	79.3055853658537
208	6.59018439520356	1.795	75.0514146341464
209	2.23868517184997	3.82	71.097512195122
210	2.20960324812653	3.815	72.543243902439
211	4.3641325750079	5.092	65.4516585365854
212	5.48332981912743	2.425	52.6147804878049
213	3.8081513491545	6.279	48.9688292682927
214	3.78981315781319	3.219	51.2364390243903
