group	size	x	y
2	2.79045030084961	3.055	73.9208292682927
3	4.13582145581636	8.004	44.4298048780488
4	2.12767294149138	1.7	74.7317073170732
5	2.89335367341751	2.478	72.6960731707317
6	2.86696306421373	1.838	69.4916341463415
7	3.75138138962058	6.963	43.0616341463415
8	4.92581268758777	2.657	73.0673902439025
10	3.38214524242951	1.36	77.3875609756098
11	4.1073160502914	1.778	78.4804878048781
12	2.13953622499205	1.979	73.6148048780488
13	3.37083608089587	2.07	65.4623902439024
14	2.92042332917522	1.508	71.3479512195122
15	2.24989303618515	1.641	75.1273902439024
16	7.47453325596116	3.463	63.1965609756098
17	3.56244129493186	1.6	77.3707317073171
18	3.5991436177139	6.432	49.3699756097561
19	3.41168329593852	1.09	70.3512195121951
20	2.37719523465211	2.913	73.4134634146341
21	3.235673635886	6.136	45.0267073170732
22	3.23487046675481	6.2	51.6740731707317
24	2.27076279289716	2.677	75.4809024390244
25	3.38305436803427	4.39	61.8657317073171
26	8.32776391324551	2.451	69.1090975609756
27	2.2603481517042	2.357	70.6627073170732
28	2.35211453229586	4.256	58.5621463414634
29	2.62970938958496	3.746	55.6515365853659
30	3.55750180899698	1.23	68.4609756097561
31	2.22667798786253	3.905	73.3007073170732
32	4.68183168276184	1.55	78.4804878048781
33	5.25151949297278	7.068	45.4100243902439
34	2.90580856734271	5.55	44.8916341463415
35	2.83031332728261	5.026	54.2834146341463
36	3.30362608489191	1.48	79.079512195122
37	3.8992743802304	5.371	50.4899268292683
38	3.88852804001522	2.254	75.6698048780488
39	3.87814549148227	5.175	51.1915365853659
40	19.1774853788258	1.799	70.7663170731707
41	5.01507011093213	2.775	70.085243902439
42	2.93618876775995	2.616	77.229512195122
43	3.62586601431359	1.61	75.7064146341463
44	2.31486059920307	4.221	68.0370487804878
46	2.46112922666436	1.945	77.5471707317073
47	3.57184616233834	1.17	73.8248780487805
48	6.43590467769782	1.35	77.0731707317073
49	2.40494989586615	5.196	53.1036585365854
50	3.12548779086896	1.752	75.9451219512195
51	2.1262787438232	1.9	75.9512195121951
52	3.40695389707598	3.014	70.1156097560976
53	4.69780670989322	3.012	69.0256585365854
54	3.68206859974633	3.113	72.1573902439024
55	2.5785241545277	1.24	69.809756097561
56	5.89021933324984	3.512	67.0653170731707
57	2.92359153079212	5.713	54.0065365853659
58	5.08121642448423	1.15	78.6041463414634
59	5.81205501707372	6.561	50.2389512195122
60	3.10991132199308	1.75	76.8785365853659
61	2.43499396159912	3.209	67.0375609756098
62	2.15811922086423	4.544	66.9716097560976
64	5.7924825861303	1.77	78.3048780487805
65	2.52135673800663	4.472	60.6049512195122
66	5.74003812358964	1.72	77.2109756097561
67	2.15241769546862	2.87	72.4058780487805
68	3.04211390577823	1.756	70.8139512195122
69	4.05261978747914	4.866	57.9551219512195
70	2.1113853319593	2.683	65.2853658536585
71	2.51895268365166	5.831	54.2402682926829
72	3.41035812523788	6.232	46.4883414634146
73	2.33470112492856	5.872	48.5115365853659
74	3.60748620608436	1.31	78.1365853658537
75	3.58290988370499	5.058	66.1061463414634
76	2.18715917772595	3.01	73.5725365853659
77	2.53369334717975	6.115	44.1151951219512
78	2.41839889173509	2.5	63.0444390243902
79	3.24724060232326	1.127	80.1268292682927
80	3.18444409280231	4.366	69.464
81	3.04675328241261	1.69	72.4951219512195
82	3.39667614412288	4.665	57.7314878048781
83	3.57080464499459	1.38	70.7024390243902
84	8.92723086985258	2.579	64.6694390243903
85	2.9382556510006	1.92	75.969756097561
86	3.18274988942355	2.94	78
88	17.4138847732705	3.349	60.5357317073171
89	4.28095908458624	5.443	71.264243902439
90	5.87317764015282	2.727	68.9196585365854
91	2.2530039704736	2.04	78.8853658536585
92	5.69400603318892	1.22	78.6285365853659
93	2.18418969028229	1.411	76.8315365853659
94	2.77899873924632	2.683	70.2712926829268
95	3.03372448116659	4.377	71.6986097560976
96	7.49957617988486	1.388	80.4241463414634
97	4.63474790673858	5.102	54.3371219512195
98	3.06091147904746	2.79	66.8926829268293
99	3.65305923544581	4.45	56.4922682926829
100	2.13363346545632	4.2	60.4390243902439
101	2.3412095430163	5.27	57.1764634146341
102	2.09747091399212	2.4	70.0363414634146
103	4.30955489697925	2.224	64.6018048780488
104	5.31998396631404	1.54	74.2478048780488
105	2.70665235166653	2.4573	68.8209756097561
106	2.62562971129951	2.722	73.4910487804878
108	3.91759754849221	2	64.4634146341463
109	3.10524286642792	4.938	59.5695609756098
110	2.86072429357649	2.711	70.1771951219512
111	2.18759955588275	2.6	71.76
113	4.11021673684985	2.184	69.316243902439
114	2.75256419545566	6.031	43.1993414634146
115	2.65662424674604	4.394	53.3281707317073
116	2.92550940637052	1.47	70.9090243902439
117	2.31557896826691	1.71	76.880487804878
118	2.76325566907941	1.11	69.3492682926829
119	3.08637584194985	3.302	71.5680975609756
120	4.57436190808333	3.024	67.47
122	2.93639821027861	1.73	66.5851463414634
123	2.38206443631659	1.826	75.5166829268293
125	3.85370770843322	5.841	56.7700487804878
127	2.69045926841748	1.829	72.414756097561
128	3.5062382557556	6.901	46.3265365853659
129	5.34555160489034	2.675	60.9234878048781
130	2.74783715948081	2.514	61.8036097560976
131	2.31274659991994	1.116	77.8612926829268
133	2.76996360579267	5.443	56.800756097561
134	2.2983021147884	1.95	77.4365853658537
135	2.5238518816632	2.04	70.4048780487805
136	2.24589709875846	3.692	67.2816097560976
137	3.57946788164342	6.216	46.1964634146342
138	6.87229728888155	2.73	73.4260487804878
139	4.28685322886204	3.204	71.5690975609756
140	4.0140527098899	5.879	46.3554878048781
141	2.64859106225161	4.351	59.4344878048781
142	2.21758423020655	2.7	71.7390243902439
143	3.5367738093166	7.629	45.9906097560976
144	7.22877232913258	6.006	45.2537073170732
145	3.07805551066763	3.702	68.2414878048781
146	3.93484201890151	1.53	77.7943902439024
147	3.02745831605222	1.86	78.1426829268293
148	4.27852363320386	4.472	59.09
149	2.95185160527934	1.95	77.3341463414634
150	2.72205249723555	4.629	73.5148292682927
151	2.82958425771365	2.786	73.6514634146342
152	4.43833883114455	3.142	69.0008780487805
153	2.2294390242268	2.64	71.444756097561
154	3.09149484922171	4.631	57.9062926829268
155	6.17821298317063	3.923	66.339756097561
156	7.66091644093177	5.042	62.5123170731707
157	5.04469184207506	1.513	72.6463414634146
158	2.94909186205698	1.9	74.8102195121951
159	2.80511223358619	5.892	70.2336097560976
160	3.55550758960999	1.46	75.4121951219512
162	3.09702430888796	3.921	69.2955609756098
163	2.35494565732656	3.398	75.7043902439025
164	4.32576013149105	1.32	69.0048780487805
165	3.35423265754834	1.6	72.0390243902439
166	7.94422868363909	1.23	66.9507317073171
167	3.24544374892506	5.958	37.7641951219512
168	4.13804541298607	4.594	70.8991219512195
169	2.30015593289406	4.968	60.9086097560976
170	2.13236553800415	2.1	71.4146341463415
171	4.49252548843479	5.546	55.192512195122
172	3.45634568350168	1.52	79.1975609756098
173	2.95370208886829	1.635	77.0487804878049
174	2.68946302636253	1.25	74.7073170731707
175	3.13591491883621	1.43	72.7048780487805
176	2.97019923483072	5.843	37.7990243902439
178	3.48230254757088	5.834	54.8635365853659
179	3.26480650813961	6.492	46.2216829268293
180	2.32616506452722	2.745	67.8555121951219
182	2.17642016754504	4.827	61.9429756097561
183	3.18469792828595	3.323	69.2559512195122
185	3.90723816584599	4.023	73.3662682926829
186	2.49037985628756	4.57	53.4418048780488
188	3.3376325554125	6.629	49.304512195122
189	3.03896611316534	5.446	54.3658536585366
190	5.80016448116743	1.785	72.2792926829268
191	3.19296578461868	4.348	62.8129512195122
192	2.4537587176074	6.832	53.3393902439025
193	3.01935236307656	3.159	63.3954878048781
194	3.4864193854149	2.38	71.9024390243902
195	2.14879338844694	4.34	70.3636829268293
196	5.80538343077394	2.596	67.4328048780488
197	2.54898207593588	1.745	68.7973658536585
199	4.75240736553992	5.78	49.6445365853659
200	5.48358281825693	1.3	67.2953658536585
201	4.3014233782415	6.967	44.8901951219512
202	10.0872238631583	1.971	76.4292682926829
203	2.88515757014766	2.4	73.6634146341463
204	4.38246697055016	3.082	66.5741951219512
205	2.15773569661429	2.576	70.168243902439
206	4.3496792144494	2.98	72.5695121951219
207	2.15800464087883	2.584	76.8025609756098
208	6.22178987244333	2.302	70.5063170731707
209	2.20236859087048	4.616	66.3300975609756
210	2.20069447380573	4.661	68.3705365853659
211	3.96421068361601	7.128	58.1306829268293
212	5.13308246855885	2.983	58.0911219512195
213	3.49487492839666	6.19	42.5896097560976
214	3.69955590606984	4.118	49.1889024390244
