group	x	y
2	2.77	74.3887317073171
3	7.847	45.0098536585366
5	2.33	73.7218292682927
6	1.712	70.4924878048781
7	6.882	44.4390975609756
8	2.535	73.5034634146342
10	1.34	77.7756097560976
11	1.755	78.9317073170732
12	1.905	73.6753902439025
13	2.07	66.3554878048781
14	1.454	73.714
15	1.585	75.3094146341464
16	3.231	64.2339024390244
17	1.62	77.619512195122
18	6.314	49.8854878048781
19	1.23	71.4121951219512
20	2.775	73.6713658536585
21	5.904	45.6705609756098
22	6.041	52.291756097561
24	2.477	75.9883414634146
25	4.219	62.6008780487805
26	2.399	69.8144634146341
27	2.165	71.3034390243903
28	3.855	60.4560975609756
29	3.519	52.1589512195122
30	1.31	67.9073170731707
31	3.696	73.4443170731708
32	1.51	78.8829268292683
33	6.974	45.4424146341463
34	5.488	43.9533414634146
35	4.964	54.1409024390244
36	1.48	79.580487804878
37	5.22	50.1789024390244
38	2.135	76.4228292682927
39	5.03	50.406512195122
40	1.755	71.0833902439025
41	2.682	70.7118292682927
42	2.481	77.6227317073171
43	1.621	76.158
44	3.876	68.9563902439024
46	1.781	77.823512195122
47	1.13	74.6682926829268
48	1.36	77.7268292682927
49	4.926	53.5894146341464
50	1.73	76.3414634146341
52	2.926	70.6308292682927
53	2.715	69.6730487804878
54	3.007	73.0061463414634
55	1.32	70.0634146341463
56	3.382	68.4493658536585
57	5.526	55.4075853658537
58	1.19	78.7170731707317
59	6.253	51.1929268292683
60	1.73	77.2912195121951
61	3.132	67.4201219512195
62	4.39	67.1726341463415
64	1.81	78.6073170731707
65	4.181	59.9720487804878
66	1.68	77.390243902439
67	2.666	73.0774634146342
68	1.659	71.2931951219512
69	4.716	58.1348048780488
70	2.34	65.4390243902439
71	5.708	54.8450731707317
72	6.07	47.522
73	5.814	48.6409512195122
74	1.24	77.9878048780488
75	4.884	67.2181219512195
76	2.927	73.9679512195122
77	5.93	44.6193658536585
78	2.479	63.9464390243903
79	0.982	80.3829268292683
80	4.116	70.1256829268293
81	1.38	72.6419512195122
82	4.426	58.1718536585366
83	1.28	70.6770731707317
84	2.489	65.3307073170732
85	1.9	76.0736585365854
86	2.965	78.6585365853659
88	3.194	61.2558780487805
89	5.31	70.9688780487805
90	2.352	69.4518292682927
91	1.99	79.3512195121951
92	1.23	78.8268292682927
93	1.402	77.2779268292683
94	2.629	70.3762682926829
95	4.076	71.9533170731707
96	1.342	80.5707317073171
97	5.03	52.8132195121951
98	2.629	67.0024390243903
99	4.017	57.0888292682927
101	5.306	57.6450975609756
103	2.144	64.5495609756098
104	1.42	75.3734146341463
105	2.8781	66.9512195121951
106	2.714	73.6697073170732
108	1.7	65.519512195122
109	4.457	60.8110731707317
110	2.503	70.4836829268293
111	2.1	71.3048780487805
113	2.176	70.2517073170732
114	5.91	44.888756097561
115	4.2	49.3578292682927
116	1.46	71.5707317073171
117	1.74	77.7707317073171
118	1.16	69.7429268292683
119	3.135	72.2628536585366
120	2.798	68.2839024390244
122	1.613	66.7269756097561
123	1.825	75.1070487804878
125	5.651	58.7162926829268
126	5.71	67.5048780487805
127	1.72	72.7442195121951
128	6.841	46.9383902439024
129	2.507	61.5871463414634
130	2.29	62.616512195122
131	0.991	78.3155609756098
133	5.291	56.9314146341464
134	1.77	77.1487804878049
135	2.05	70.9609756097561
136	3.146	69.3642195121951
137	6.13	45.9636829268293
138	2.615	74.013243902439
139	3.11	71.9563414634146
140	5.758	47.0209756097561
141	4.134	58.2058536585366
142	2.6533333333	73.8756097560976
143	7.545	47.5220243902439
144	5.922	45.8295365853659
145	3.384	69.1685365853659
146	1.65	77.8365853658537
147	1.85	78.2829268292683
148	4.224	60.7158048780488
149	1.94	77.890243902439
150	3.943	73.9382682926829
151	2.764	74.0309024390244
152	2.993	69.9989268292683
153	2.509	72.0825365853659
154	4.557	58.4848780487805
155	3.852	66.6480243902439
156	4.669	62.9525365853659
157	1.37	73.0439024390244
158	1.97425	75.731
159	5.535	70.7060487804878
160	1.5	75.9634146341463
162	3.758	69.7825365853659
163	3.219	76.1070731707317
164	1.3	70.5121951219512
166	1.17	66.0436585365854
167	5.852	44.2348048780488
168	4.187	71.2890731707317
169	4.789	62.1908780487805
171	5.413	56.3422682926829
172	1.5	79.4414634146342
173	1.475	77.5512195121951
174	1.21	75.009756097561
175	1.33	72.9024390243902
176	5.776	38.9746829268293
178	5.634	55.4311219512195
179	6.504	47.6993414634146
180	2.751	67.8926341463415
182	4.665	62.2175365853659
183	3.07	69.533243902439
185	3.75	73.8162195121951
186	4.326	50.1620731707317
188	6.617	48.7388292682927
189	5.215	54.6672926829268
190	1.73	72.4094634146341
191	4.13	63.4207073170732
192	7.079	55.2896585365854
193	2.914	63.7454634146342
194	2.09	72.5
195	4.27	70.6250731707317
196	2.452	68.7947317073171
197	1.664	68.5199756097561
199	5.711	50.0409756097561
200	1.2	68.1939024390244
201	6.903	45.5481463414634
202	2.0075	76.5829268292683
203	2.25	74.1539024390244
204	2.72	66.8443170731707
205	2.442	70.2980731707317
206	2.85	72.8641463414634
207	2.372	77.3061707317073
208	2.055	71.4826097560976
209	4.507	67.1598292682927
210	4.607	69.1370487804878
211	6.682	59.1194878048781
212	2.899	55.8925365853659
213	6.152	42.0212195121951
214	3.932	45.8474878048781
