x	y	label	clickSelects	showSelected1	group
1960	51.6086829268293	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
1960	31.1320975609756	Afghanistan	Afghanistan	Afghanistan	1
1960	62.3536585365854	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	7
1960	62.2543658536585	Albania	Albania	Albania	2
1960	65.8539512195122	Armenia	Armenia	Armenia	9
1960	32.9853414634146	Angola	Angola	Angola	6
1960	65.1751463414634	Argentina	Argentina	Argentina	8
1960	68.5856097560976	Austria	Austria	Austria	12
1960	70.8170731708781	Australia	Australia	Australia	11
1960	65.5693658536586	Aruba	Aruba	Aruba	10
1960	60.836243902439	Azerbaijan	Azerbaijan	Azerbaijan	13
1960	60.2073658536586	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	25
1960	64.4752682926829	Barbados	Barbados	Barbados	17
1960	47.7585365853659	Bangladesh	Bangladesh	Bangladesh	16
1960	69.7019512195122	Belgium	Belgium	Belgium	19
1960	35.8631463414634	Burkina Faso	Burkina Faso	Burkina Faso	30
1960	69.2475609756098	Bulgaria	Bulgaria	Bulgaria	29
1960	51.7798048780488	Bahrain	Bahrain	Bahrain	15
1960	41.2365365853659	Burundi	Burundi	Burundi	31
1960	35.5763414634146	Benin	Benin	Benin	21
1960	62.3364634146342	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	28
1960	42.6520487804878	Bolivia	Bolivia	Bolivia	24
1960	54.4922195121951	Brazil	Brazil	Brazil	27
1960	63.2249268292683	Bahamas, The	Bahamas, The	Bahamas, The	14
1960	37.0762682926829	Bhutan	Bhutan	Bhutan	23
1960	50.537243902439	Botswana	Botswana	Botswana	26
1960	68.2738780487805	Belarus	Belarus	Belarus	18
1960	60.8958536585366	Belize	Belize	Belize	20
1960	71.1331707317073	Canada	Canada	Canada	34
1960	41.0180487804878	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	44
1960	36.4826341463415	Central African Republic	Central African Republic	Central African Republic	37
1960	48.5835609756098	Congo, Rep.	Congo, Rep.	Congo, Rep.	45
1960	71.3134146341463	Switzerland	Switzerland	Switzerland	186
1960	40.4241951219512	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	47
1960	57.0162926829268	Chile	Chile	Chile	40
1960	41.523756097561	Cameroon	Cameroon	Cameroon	33
1960	43.4578780487805	China	China	China	41
1960	56.7129268292683	Colombia	Colombia	Colombia	42
1960	61.6029512195122	Costa Rica	Costa Rica	Costa Rica	46
1960	63.6626585365854	Cuba	Cuba	Cuba	49
1960	48.672	Cape Verde	Cape Verde	Cape Verde	35
1960	69.5906097560976	Cyprus	Cyprus	Cyprus	51
1960	70.3487804878049	Czech Republic	Czech Republic	Czech Republic	52
1960	69.6202926829268	Germany	Germany	Germany	72
1960	38.536	Djibouti	Djibouti	Djibouti	54
1960	72.1765853658537	Denmark	Denmark	Denmark	53
1960	51.790756097561	Dominican Republic	Dominican Republic	Dominican Republic	56
1960	46.9853902439025	Algeria	Algeria	Algeria	3
1960	53.1200487804878	Ecuador	Ecuador	Ecuador	57
1960	68.5777317073171	Estonia	Estonia	Estonia	62
1960	45.9335609756098	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	58
1960	39.1062682926829	Eritrea	Eritrea	Eritrea	61
1960	69.1092682926829	Spain	Spain	Spain	176
1960	38.4057073170732	Ethiopia	Ethiopia	Ethiopia	63
1960	68.819756097561	Finland	Finland	Finland	66
1960	55.9504146341463	Fiji	Fiji	Fiji	65
1960	57.5865853658537	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	127
1960	69.8682926829268	France	France	France	67
1960	39.5681707317073	Gabon	Gabon	Gabon	69
1960	71.1268292682927	United Kingdom	United Kingdom	United Kingdom	203
1960	63.1079268292683	Grenada	Grenada	Grenada	76
1960	63.4277073170732	Georgia	Georgia	Georgia	71
1960	45.9767073170732	Ghana	Ghana	Ghana	73
1960	33.5446341463415	Gambia, The	Gambia, The	Gambia, The	70
1960	32.3641219512195	Guinea	Guinea	Guinea	79
1960	36.7330487804878	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	60
1960	68.7255609756098	Greece	Greece	Greece	74
1960	45.7452926829268	Guatemala	Guatemala	Guatemala	78
1960	61.2263414634146	Guam	Guam	Guam	77
1960	34.5066829268293	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	80
1960	52.7795853658537	Guyana	Guyana	Guyana	81
1960	66.9997073170732	Hong Kong SAR, China	Hong Kong SAR, China	Hong Kong SAR, China	84
1960	46.2103170731707	Honduras	Honduras	Honduras	83
1960	65.9691219512195	Croatia	Croatia	Croatia	48
1960	42.0826829268293	Haiti	Haiti	Haiti	82
1960	68.0031707317073	Hungary	Hungary	Hungary	85
1960	45.0732682926829	Indonesia	Indonesia	Indonesia	88
1960	69.691756097561	Ireland	Ireland	Ireland	91
1960	42.4455853658537	India	India	India	87
1960	48.8539268292683	Iraq	Iraq	Iraq	90
1960	44.5774390243903	Iran, Islamic Rep.	Iran, Islamic Rep.	Iran, Islamic Rep.	89
1960	73.4267073170732	Iceland	Iceland	Iceland	86
1960	69.1239024390244	Italy	Italy	Italy	94
1960	70.6397804878049	Channel Islands	Channel Islands	Channel Islands	39
1960	64.1918292682927	Jamaica	Jamaica	Jamaica	95
1960	53.8540487804878	Jordan	Jordan	Jordan	97
1960	67.6660975609756	Japan	Japan	Japan	96
1960	46.3624146341463	Kenya	Kenya	Kenya	99
1960	56.1123414634146	Kyrgyz Republic	Kyrgyz Republic	Kyrgyz Republic	105
1960	42.4041463414634	Cambodia	Cambodia	Cambodia	32
1960	43.4419512195122	Comoros	Comoros	Comoros	43
1960	55.2211707317073	Korea, Dem. Rep.	Korea, Dem. Rep.	Korea, Dem. Rep.	101
1960	52.9987317073171	Korea, Rep.	Korea, Rep.	Korea, Rep.	102
1960	61.4006829268293	Kuwait	Kuwait	Kuwait	104
1960	58.3035609756098	Kazakhstan	Kazakhstan	Kazakhstan	98
1960	43.9777317073171	Lao PDR	Lao PDR	Lao PDR	106
1960	60.9993414634146	Lebanon	Lebanon	Lebanon	108
1960	57.6486829268293	St. Lucia	St. Lucia	St. Lucia	179
1960	57.8603414634146	Sri Lanka	Sri Lanka	Sri Lanka	177
1960	37.6482682926829	Liberia	Liberia	Liberia	110
1960	46.5009512195122	Lesotho	Lesotho	Lesotho	109
1960	69.8473170731707	Lithuania	Lithuania	Lithuania	113
1960	68.3215609756098	Luxembourg	Luxembourg	Luxembourg	114
1960	69.7868292682927	Latvia	Latvia	Latvia	107
1960	46.6787317073171	Libya	Libya	Libya	111
1960	46.6150731707317	Morocco	Morocco	Morocco	132
1960	61.8030243902439	Moldova	Moldova	Moldova	128
1960	62.4055365853659	Montenegro	Montenegro	Montenegro	131
1960	39.8808780487805	Madagascar	Madagascar	Madagascar	117
1960	60.7211951219512	Macedonia, FYR	Macedonia, FYR	Macedonia, FYR	116
1960	30.3108048780488	Mali	Mali	Mali	121
1960	42.7107804878049	Myanmar	Myanmar	Myanmar	134
1960	48.6804390243902	Mongolia	Mongolia	Mongolia	130
1960	65.0418292682927	Macao SAR, China	Macao SAR, China	Macao SAR, China	115
1960	42.2319024390244	Mauritania	Mauritania	Mauritania	124
1960	67.6017804878049	Malta	Malta	Malta	122
1960	58.7538780487805	Mauritius	Mauritius	Mauritius	125
1960	37.4779512195122	Maldives	Maldives	Maldives	120
1960	37.7736341463415	Malawi	Malawi	Malawi	118
1960	57.0351219512195	Mexico	Mexico	Mexico	126
1960	59.4188292682927	Malaysia	Malaysia	Malaysia	119
1960	35.0037073170732	Mozambique	Mozambique	Mozambique	133
1960	46.8803902439024	Namibia	Namibia	Namibia	135
1960	58.6390243902439	New Caledonia	New Caledonia	New Caledonia	138
1960	37.897243902439	Niger	Niger	Niger	141
1960	38.4964878048781	Nigeria	Nigeria	Nigeria	142
1960	46.9109512195122	Nicaragua	Nicaragua	Nicaragua	140
1960	73.3926829268293	Netherlands	Netherlands	Netherlands	137
1960	73.549756097561	Norway	Norway	Norway	144
1960	38.4940487804878	Nepal	Nepal	Nepal	136
1960	71.2365853658537	New Zealand	New Zealand	New Zealand	139
1960	42.2736097560976	Oman	Oman	Oman	145
1960	60.7899756097561	Panama	Panama	Panama	148
1960	47.643243902439	Peru	Peru	Peru	151
1960	56.3299024390244	French Polynesia	French Polynesia	French Polynesia	68
1960	38.462243902439	Papua New Guinea	Papua New Guinea	Papua New Guinea	149
1960	57.81	Philippines	Philippines	Philippines	152
1960	46.642756097561	Pakistan	Pakistan	Pakistan	146
1960	67.6804878048781	Poland	Poland	Poland	153
