xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	group
1959.5	1960.5	1	year	1960	year	1960	1
1960.5	1961.5	1961 1960	year	1961	year	1960	54
1961.5	1962.5	1962 1960	year	1962	year	1960	106
1962.5	1963.5	1963 1960	year	1963	year	1960	158
1963.5	1964.5	1964 1960	year	1964	year	1960	210
1964.5	1965.5	1965 1960	year	1965	year	1960	262
1965.5	1966.5	1966 1960	year	1966	year	1960	314
1966.5	1967.5	1967 1960	year	1967	year	1960	366
1967.5	1968.5	1968 1960	year	1968	year	1960	418
1968.5	1969.5	1969 1960	year	1969	year	1960	470
1969.5	1970.5	1970 1960	year	1970	year	1960	522
1970.5	1971.5	1971 1960	year	1971	year	1960	574
1971.5	1972.5	1972 1960	year	1972	year	1960	626
1972.5	1973.5	1973 1960	year	1973	year	1960	678
1973.5	1974.5	1974 1960	year	1974	year	1960	730
1974.5	1975.5	1975 1960	year	1975	year	1960	782
1975.5	1976.5	1976 1960	year	1976	year	1960	834
1976.5	1977.5	1977 1960	year	1977	year	1960	886
1977.5	1978.5	1978 1960	year	1978	year	1960	938
1978.5	1979.5	1979 1960	year	1979	year	1960	990
1979.5	1980.5	1980 1960	year	1980	year	1960	1042
1980.5	1981.5	1981 1960	year	1981	year	1960	1094
1981.5	1982.5	1982 1960	year	1982	year	1960	1146
1982.5	1983.5	1983 1960	year	1983	year	1960	1198
1983.5	1984.5	1984 1960	year	1984	year	1960	1250
1984.5	1985.5	1985 1960	year	1985	year	1960	1302
1985.5	1986.5	1986 1960	year	1986	year	1960	1354
1986.5	1987.5	1987 1960	year	1987	year	1960	1406
1987.5	1988.5	1988 1960	year	1988	year	1960	1458
1988.5	1989.5	1989 1960	year	1989	year	1960	1510
1989.5	1990.5	1990 1960	year	1990	year	1960	1562
1990.5	1991.5	1991 1960	year	1991	year	1960	1614
1991.5	1992.5	1992 1960	year	1992	year	1960	1666
1992.5	1993.5	1993 1960	year	1993	year	1960	1718
1993.5	1994.5	1994 1960	year	1994	year	1960	1770
