group	size	x	y
2	2.83252263742302	2.77	74.3887317073171
3	4.1893874830622	7.847	45.0098536585366
5	2.89155604841897	2.33	73.7218292682927
6	2.86087783936052	1.712	70.4924878048781
7	3.79996200503873	6.882	44.4390975609756
8	4.95938946045331	2.535	73.5034634146342
10	3.38425084824543	1.34	77.7756097560976
11	4.13046725823412	1.755	78.9317073170732
12	2.14256086955099	1.905	73.6753902439025
13	3.38342105879043	2.07	66.3554878048781
14	2.94815295919539	1.454	73.714
15	2.25066649445888	1.585	75.3094146341464
16	7.58346308223292	3.231	64.2339024390244
17	3.56590517459097	1.62	77.619512195122
18	3.64476593754553	6.314	49.8854878048781
19	3.4030379960863	1.23	71.4121951219512
20	2.39078641814244	2.775	73.6713658536585
21	3.25261158002099	5.904	45.6705609756098
22	3.27116644500141	6.041	52.291756097561
24	2.27715334834302	2.477	75.9883414634146
25	3.41256152396363	4.219	62.6008780487805
26	8.42334723893157	2.399	69.8144634146341
27	2.26336975990509	2.165	71.3034390243903
28	2.36134470314506	3.855	60.4560975609756
29	2.64245126018495	3.519	52.1589512195122
30	3.55117437738537	1.31	67.9073170731707
31	2.23364825810931	3.696	73.4443170731708
32	4.70463275434134	1.51	78.8829268292683
33	5.3176385429839	6.974	45.4424146341463
34	2.92478159059209	5.488	43.9533414634146
35	2.85397100320778	4.964	54.1409024390244
36	3.30868430437431	1.48	79.580487804878
37	3.94668272784543	5.22	50.1789024390244
38	3.91332920185087	2.135	76.4228292682927
39	3.92881991454553	5.03	50.406512195122
40	19.3349826314173	1.755	71.0833902439025
41	5.067628706646	2.682	70.7118292682927
42	2.95943640815023	2.481	77.6227317073171
43	3.63156067785047	1.621	76.158
44	2.32112396179997	3.876	68.9563902439024
46	2.4700827775653	1.781	77.823512195122
47	3.57029863591584	1.13	74.6682926829268
48	6.43767456604342	1.36	77.7268292682927
49	2.41192560330984	4.926	53.5894146341464
50	3.12940345752695	1.73	76.3414634146341
52	3.42990152138535	2.926	70.6308292682927
53	4.73887673351582	2.715	69.6730487804878
54	3.71649187504509	3.007	73.0061463414634
55	2.57355181835302	1.32	70.0634146341463
56	5.95151242710965	3.382	68.4493658536585
57	2.95362461687746	5.526	55.4075853658537
58	5.09457228910274	1.19	78.7170731707317
59	5.92291117583558	6.253	51.1929268292683
60	3.11267846027566	1.73	77.2912195121951
61	2.4387712592655	3.132	67.4201219512195
62	2.15758887547565	4.39	67.1726341463415
64	5.80925998484891	1.81	78.6073170731707
65	2.53464693731556	4.181	59.9720487804878
66	5.75174135380721	1.68	77.390243902439
67	2.15266615574068	2.666	73.0774634146342
68	3.03297003863687	1.659	71.2931951219512
69	4.0997499141834	4.716	58.1348048780488
70	2.11149295898163	2.34	65.4390243902439
71	2.53402382745069	5.708	54.8450731707317
72	3.43601413563327	6.07	47.522
73	2.3455900648746	5.814	48.6409512195122
74	3.61538141744501	1.24	77.9878048780488
75	3.61978077583541	4.884	67.2181219512195
76	2.18948063343977	2.927	73.9679512195122
77	2.54566280679667	5.93	44.6193658536585
78	2.42039702077479	2.479	63.9464390243903
79	3.25846046258415	0.982	80.3829268292683
80	3.20995718655424	4.116	70.1256829268293
81	3.04468877825813	1.38	72.6419512195122
82	3.42194932546611	4.426	58.1718536585366
83	3.56675597721374	1.28	70.6770731707317
84	9.02857999375259	2.489	65.3307073170732
85	2.94850480894428	1.9	76.0736585365854
86	3.21170203902164	2.965	78.6585365853659
88	17.6804560536117	3.194	61.2558780487805
89	4.35331201274886	5.31	70.9688780487805
90	5.94425078784103	2.352	69.4518292682927
91	2.2559510922655	1.99	79.3512195121951
92	5.694848330981	1.23	78.8268292682927
93	2.1854699971854	1.402	77.2779268292683
94	2.78516690247366	2.629	70.3762682926829
95	3.05916904054462	4.076	71.9533170731707
96	7.51175376365286	1.342	80.5707317073171
97	4.70371894702545	5.03	52.8132195121951
98	3.07706800758335	2.629	67.0024390243903
99	3.69352227990846	4.017	57.0888292682927
101	2.35002439161952	5.306	57.6450975609756
103	4.33028231257608	2.144	64.5495609756098
104	5.34384990172013	1.42	75.3734146341463
105	2.64933605421213	2.8781	66.9512195121951
106	2.65967233426796	2.714	73.6697073170732
108	3.89207916690802	1.7	65.519512195122
109	3.12688879347298	4.457	60.8110731707317
110	2.86959506448369	2.503	70.4836829268293
111	2.19018951796399	2.1	71.3048780487805
113	4.13777332363401	2.176	70.2517073170732
114	2.81034453410937	5.91	44.888756097561
115	2.66351671112543	4.2	49.3578292682927
116	2.91888962787643	1.46	71.5707317073171
117	2.31974166461624	1.74	77.7707317073171
118	2.75656847437363	1.16	69.7429268292683
119	3.10483204982957	3.135	72.2628536585366
120	4.60869696612932	2.798	68.2839024390244
122	2.93477576001403	1.613	66.7269756097561
123	2.38161054865625	1.825	75.1070487804878
125	3.9131587514798	5.651	58.7162926829268
126	2.10707667241862	5.71	67.5048780487805
127	2.69785438911846	1.72	72.7442195121951
