group	x	y
2	6.861	56.066243902439
3	7.7	32.5910487804878
5	5.586	65.4376829268293
6	4.161	67.5580975609756
7	7.425	34.5883170731707
8	3.068	65.5390731707317
10	2.77	69.9219512195122
11	3.146	70.8809756097561
12	4.059	67.0442926829268
13	5.468	62.4574146341463
14	3.619	62.705756097561
15	4.094	66.4747073170732
16	6.846	49.9818536585366
17	2.712	70.7551219512195
18	6.414	37.8664878048781
19	2.19	71.1212195121951
20	7.192	57.3574146341464
21	6.801	42.5067073170732
22	6.497	36.7753170731707
24	6.227	64.4106097560976
25	6.607	43.903512195122
26	5.953	56.2676341463415
27	4.22	64.6497073170732
28	6.67	38.1816829268293
29	6.681	51.921756097561
30	2.31	69.2564390243903
31	6.42	62.9436097560976
32	3.456	71.7763414634146
33	6.067	41.918
34	5.925	38.2253658536585
35	6.056	50.9404390243903
36	2.852	72.0778048780488
37	7.639	41.1034146341463
38	5.185	58.7809512195122
39	5.958	43.2786585365854
40	5.793	48.5743902439025
41	6.661	58.633756097561
42	6.886	63.8366585365854
43	4.643	66.1755853658537
44	6.989	49.5701707317073
46	3.249	70.8693902439024
47	2.34	70.459512195122
48	2.54	70.3119512195122
49	7.765	40.4289268292683
50	2.602	72.4851219512195
52	7.187	54.6213170731707
53	7.384	49.2308048780488
54	6.672	55.3798292682927
55	1.94	69.4392195121951
56	6.475	47.6440731707317
57	6.785	40.777243902439
58	3.011	70.399756097561
59	6.889	40.7955365853659
60	2.533	69.2209756097561
61	5.676	57.6333170731707
62	6.893	59.1795853658537
64	2.87	70.6634146341463
65	4.311	41.5785365853659
66	2.934	71.6243902439024
67	5.906	63.5132195121951
68	2.864	65.0357073170732
69	6.893	47.1062682926829
71	5.776	34.5303414634146
72	6.613	32.6901707317073
73	5.57	37.9312682926829
74	2.312	69.9830243902439
75	6.434	47.9553902439024
76	5.67	63.186243902439
77	5.32	35.5899756097561
78	6.201	54.0868536585366
79	4.833	69.1183658536585
80	7.443	48.9017804878049
81	2.211	67.4566097560976
82	6.233	44.3347804878049
83	1.82	69.3809756097561
84	5.623	47.9435365853659
85	4.065	70.3945853658537
88	5.806	45.1082195121951
89	6.872	52.9499024390244
90	6.889	47.5189756097561
91	3.858	73.5417073170732
92	2.701	70.3117073170732
93	2.551	71.0475853658537
94	5.775	66.1878536585366
95	8.034	56.6522682926829
96	2.05	70.1324390243903
97	8.103	48.8605853658537
98	5.317	57.8653414634146
99	6.316	44.5283902439024
101	6.975	45.0247073170732
103	3.653	57.2963658536585
104	5.357	56.0216341463415
106	7.381	63.863243902439
108	4.201	59.9655609756098
109	5.971	44.8050487804878
110	5.615	62.7621707317073
111	6.758	59.9751707317073
113	5.067	59.350243902439
114	6.5	39.114512195122
115	5.806	47.9614878048781
116	2.28	71.5090243902439
117	2.34	69.2879756097561
118	1.79	71.0280487804878
119	7.275	48.6494634146341
120	7.144	48.5739024390244
122	2.989	63.2756341463415
123	2.517	64.6034878048781
125	7.3	41.4828780487805
127	3.658	63.144243902439
128	6.793	31.3545609756098
129	6.118	45.3634390243902
130	7.558	52.1263170731707
131	3.926	67.0239268292683
133	6.799	43.6629268292683
134	2.79	68.7999756097561
135	5.785	61.9525365853659
136	7.179	39.7611463414634
137	7.056	38.6242926829268
138	6.767	59.0366097560976
139	5.952	61.3559756097561
140	6.602	36.748756097561
141	6.216	49.2571463414634
142	5.7366666667	60.3365853658537
143	7.183	38.0026097560976
144	6.336	39.9862926829268
145	7.052	49.5589512195122
146	3.166	73.7041463414634
147	2.964	73.5958536585366
148	6.097	39.9640487804878
149	3.733	71.3292682926829
150	7.263	45.076756097561
151	5.874	62.6613902439024
152	6.8	49.6659024390244
153	6.49	57.8945365853659
154	6.268	41.216487804878
155	6.867	59.0301707317073
156	6.6	49.3373658536585
157	2.57	68.6292682926829
158	4.075	69.7711951219512
160	3.153	64.7231951219512
162	6.41	64.4470487804878
163	6.985	62.3633902439024
164	1.963	67.1839024390244
166	2.18	68.5416097560976
167	8.129	43.3286585365854
168	7.257	47.4528292682927
169	6.394	51.3817073170732
171	6.598	42.8159268292683
172	2.474	73.7331707317073
173	4.8525	66.9102195121951
174	2.321	68.6634146341463
175	2.89	70.6432926829268
176	6.03	32.5924146341463
178	6.984	39.4161219512195
179	7.261	37.5879024390244
180	6.412	61.1274878048781
182	6.327	52.7668536585366
183	6.699	53.959
185	7.555	55.5324390243903
186	6.782	45.3886585365854
188	6.323	41.7775853658537
189	6.734	41.8480975609756
190	6.151	57.2891951219512
191	6.433	57.8167073170732
192	6.347	35.7334878048781
193	6.663	56.1058048780488
194	7.194	50.2658048780488
195	7.117	62.8151463414634
196	5.961	48.5616341463415
197	4.62	64.8120487804878
199	6.801	44.6977073170732
200	1.96	70.8110975609756
201	7.078	46.1803170731707
202	3.19	70.1658536585366
203	2.858	68.449
204	6.777	60.5511707317073
205	6.876	57.3159024390244
206	6.495	60.7652926829268
207	5.484	65.2101219512195
208	7.391	46.3357804878049
209	6.836	48.8868292682927
210	7.103	51.969512195122
211	7.385	38.860756097561
212	6.118	50.581756097561
213	7.24	46.5571951219512
214	7.347	52.9716585365854
